"corpus","scope","control","iteration","stored_win_share","mean_diff"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","74","0.494994","-0.004497"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","75","0.471635","-0.027465"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","76","0.51168","0.003061"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","77","0.452725","-0.029243"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","78","0.489433","-0.012592"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","79","0.508343","0.016175"
"Indus_Lipi","exact_sequence_collapsed","row_internal_shuffle","80","0.48832","-0.001209"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","1","0.919911","1.461514"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","2","0.923248","1.478256"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","3","0.919355","1.455679"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","4","0.916018","1.44499"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","5","0.92436","1.448916"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","6","0.922136","1.479333"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","7","0.918799","1.474783"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","8","0.92158","1.483968"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","9","0.923248","1.476209"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","10","0.923804","1.453194"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","11","0.920467","1.452101"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","12","0.926585","1.471646"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","13","0.919355","1.473739"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","14","0.914905","1.47082"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","15","0.91713","1.469548"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","16","0.918799","1.426771"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","17","0.919355","1.464299"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","18","0.918799","1.446068"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","19","0.924917","1.465446"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","20","0.924917","1.486416"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","21","0.921023","1.448871"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","22","0.925473","1.486258"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","23","0.92158","1.491219"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","24","0.916574","1.451826"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","25","0.928254","1.464524"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","26","0.924917","1.464949"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","27","0.915462","1.452212"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","28","0.922136","1.471186"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","29","0.918242","1.459698"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","30","0.92436","1.455342"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","31","0.925473","1.47606"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","32","0.91713","1.478616"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","33","0.920467","1.483507"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","34","0.91713","1.432857"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","35","0.91713","1.485231"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","36","0.909344","1.453293"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","37","0.92881","1.467266"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","38","0.922136","1.475301"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","39","0.927141","1.496418"
