source_a,source_a_sign,source_b,top_source_b_sign,mapping_state,candidate_grade,total_aligned_positions,top_count,top_share,runner_up_sign,runner_up_count,distinct_candidate_count,position_counts,evidence_types,evidence_refs,example_artifacts,review_status,confidence,counterexamples
lipi_numeric,832,mayig_parpola,P368,uncertain,conflicted_positional_candidate,3,2,0.666667,P366,1,2,initial:1;medial:1;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-77;M-139;M-150,needs_image_or_authoritative_sign_list_validation,very_low,P366:1
lipi_numeric,906,mayig_parpola,P174,uncertain,low_consistency_positional_candidate,3,3,1.000000,,0,1,medial:3,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-24;M-36;M-133,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,005,mayig_parpola,P125,uncertain,sparse_singleton_or_doubleton,2,2,1.000000,,0,1,terminal:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-40;M-138,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,013,mayig_parpola,P139,uncertain,sparse_singleton_or_doubleton,2,2,1.000000,,0,1,medial:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-90;M-116,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,018,mayig_parpola,P128,uncertain,sparse_singleton_or_doubleton,2,2,1.000000,,0,1,medial:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-83;M-172,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,130,mayig_parpola,P026,uncertain,sparse_singleton_or_doubleton,2,2,1.000000,,0,1,medial:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-16;M-153,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,215,mayig_parpola,P353,uncertain,sparse_singleton_or_doubleton,2,2,1.000000,,0,1,medial:1;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-46;M-99,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,236,mayig_parpola,P051,uncertain,conflicted_positional_candidate,2,1,0.500000,P061,1,2,initial:1;medial:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-54;M-139,needs_image_or_authoritative_sign_list_validation,very_low,P061:1
lipi_numeric,269,mayig_parpola,P067,uncertain,sparse_singleton_or_doubleton,2,2,1.000000,,0,1,initial:1;medial:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-31;M-153,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,336,mayig_parpola,P309,uncertain,sparse_singleton_or_doubleton,2,2,1.000000,,0,1,medial:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-34;M-140,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,371,mayig_parpola,P108,uncertain,sparse_singleton_or_doubleton,2,2,1.000000,,0,1,terminal:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-1;M-12,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,382,mayig_parpola,P111,uncertain,sparse_singleton_or_doubleton,2,2,1.000000,,0,1,medial:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-33;M-112,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,405,mayig_parpola,P086,uncertain,sparse_singleton_or_doubleton,2,2,1.000000,,0,1,initial:1;medial:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-34;M-172,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,435,mayig_parpola,P188,uncertain,sparse_singleton_or_doubleton,2,2,1.000000,,0,1,medial:2,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-38;M-97,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,565,mayig_parpola,P238,uncertain,sparse_singleton_or_doubleton,2,2,1.000000,,0,1,initial:1;medial:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-107;M-127,needs_image_or_authoritative_sign_list_validation,very_low,
lipi_numeric,575,mayig_parpola,P289,uncertain,sparse_singleton_or_doubleton,2,2,1.000000,,0,1,medial:1;terminal:1,same_artifact;count_matched;position_aligned;direction_R_L,data/open_prototype/reports/crosswalk_alignment_pairs.csv,M-65;M-74,needs_image_or_authoritative_sign_list_validation,very_low,
