"model","iteration","exact_duplicate_sequence_groups","exact_duplicate_pairs","variant_pairs_total","near_pairs_edit_distance_le_2","single_substitution_pairs","two_substitution_pairs","single_insertion_deletion_pairs","shared_edge_frame_pairs","frame_families_count","top_frame_rows","slot_candidate_groups"
"length_frequency_shuffle","359","0","0","51","44","3","29","0","7","5","3","3"
"edge_position_preserving_shuffle","359","0","0","153","85","7","41","0","70","17","10","2"
"length_frequency_shuffle","360","0","0","50","40","1","23","0","11","7","3","1"
"edge_position_preserving_shuffle","360","0","0","156","82","7","37","1","77","14","11","2"
"length_frequency_shuffle","361","0","0","39","36","0","25","0","3","3","2","0"
"edge_position_preserving_shuffle","361","1","1","171","110","15","31","2","69","16","10","2"
"length_frequency_shuffle","362","0","0","46","40","0","26","0","7","5","3","0"
"edge_position_preserving_shuffle","362","0","0","211","104","6","56","0","110","14","14","4"
"length_frequency_shuffle","363","0","0","42","35","0","28","0","7","5","3","0"
"edge_position_preserving_shuffle","363","0","0","200","108","6","62","2","106","12","13","6"
"length_frequency_shuffle","364","0","0","43","36","1","27","0","7","7","2","1"
"edge_position_preserving_shuffle","364","0","0","144","81","5","40","1","64","14","9","3"
"length_frequency_shuffle","365","0","0","80","73","5","34","4","7","5","3","5"
"edge_position_preserving_shuffle","365","0","0","173","103","5","58","2","80","11","11","5"
"length_frequency_shuffle","366","0","0","43","34","4","23","0","9","9","2","2"
"edge_position_preserving_shuffle","366","0","0","203","136","3","89","0","78","13","10","3"
"length_frequency_shuffle","367","0","0","40","37","1","25","1","3","3","2","1"
"edge_position_preserving_shuffle","367","1","1","187","121","6","58","4","77","12","11","2"
"length_frequency_shuffle","368","0","0","53","47","4","23","0","9","5","3","4"
"edge_position_preserving_shuffle","368","0","0","160","101","6","50","1","62","11","9","1"
"length_frequency_shuffle","369","0","0","42","35","1","22","0","8","6","3","1"
"edge_position_preserving_shuffle","369","0","0","171","114","4","65","0","61","14","8","2"
"length_frequency_shuffle","370","0","0","36","30","1","23","0","7","5","3","1"
"edge_position_preserving_shuffle","370","0","0","143","81","4","57","0","64","13","10","2"
"length_frequency_shuffle","371","0","0","72","67","4","28","0","6","4","3","2"
"edge_position_preserving_shuffle","371","0","0","138","110","3","77","3","35","17","5","3"
"length_frequency_shuffle","372","0","0","43","39","1","26","0","5","5","2","1"
"edge_position_preserving_shuffle","372","0","0","154","103","5","74","1","58","12","9","5"
"length_frequency_shuffle","373","0","0","41","33","1","21","0","8","6","3","1"
"edge_position_preserving_shuffle","373","1","1","187","119","7","60","6","82","9","11","3"
"length_frequency_shuffle","374","0","0","43","36","0","27","1","7","3","3","0"
"edge_position_preserving_shuffle","374","0","0","155","102","3","70","2","60","14","9","3"
"length_frequency_shuffle","375","0","0","42","35","1","22","0","8","6","3","1"
"edge_position_preserving_shuffle","375","1","1","151","109","13","40","2","56","11","8","5"
"length_frequency_shuffle","376","0","0","39","34","0","25","0","5","5","2","0"
"edge_position_preserving_shuffle","376","0","0","174","76","3","42","1","111","12","14","3"
"length_frequency_shuffle","377","0","0","36","32","1","22","0","5","3","3","1"
"edge_position_preserving_shuffle","377","0","0","147","106","7","54","1","58","13","7","3"
"length_frequency_shuffle","378","1","1","54","49","1","24","4","11","4","4","1"
"edge_position_preserving_shuffle","378","1","1","146","87","4","53","0","64","14","9","3"
"length_frequency_shuffle","379","0","0","57","45","5","17","0","12","8","3","3"
"edge_position_preserving_shuffle","379","0","0","197","116","5","80","0","99","13","13","3"
"length_frequency_shuffle","380","0","0","46","41","0","26","0","5","5","2","0"
"edge_position_preserving_shuffle","380","0","0","195","115","8","65","1","91","14","12","6"
"length_frequency_shuffle","381","0","0","42","33","1","21","0","9","4","4","1"
"edge_position_preserving_shuffle","381","0","0","160","68","5","36","0","103","10","13","3"
"length_frequency_shuffle","382","0","0","57","47","2","29","0","10","8","3","2"
"edge_position_preserving_shuffle","382","0","0","195","125","5","67","1","90","9","13","3"
"length_frequency_shuffle","383","0","0","51","43","1","31","0","9","7","3","1"
"edge_position_preserving_shuffle","383","0","0","161","84","3","48","0","79","11","10","1"
"length_frequency_shuffle","384","0","0","52","42","2","27","0","11","7","3","2"
"edge_position_preserving_shuffle","384","0","0","177","93","6","46","2","96","9","11","4"
"length_frequency_shuffle","385","0","0","37","33","0","22","0","4","4","2","0"
"edge_position_preserving_shuffle","385","0","0","141","81","5","39","3","69","11","10","3"
"length_frequency_shuffle","386","0","0","45","38","0","26","0","8","3","4","0"
"edge_position_preserving_shuffle","386","0","0","147","104","9","49","1","58","11","8","4"
"length_frequency_shuffle","387","0","0","49","44","3","27","0","7","7","2","3"
"edge_position_preserving_shuffle","387","0","0","155","76","2","47","2","83","13","11","2"
"length_frequency_shuffle","388","0","0","37","32","0","25","0","8","6","3","0"
"edge_position_preserving_shuffle","388","0","0","181","113","5","62","4","81","11","11","3"
"length_frequency_shuffle","389","0","0","45","37","0","29","0","8","8","2","0"
"edge_position_preserving_shuffle","389","0","0","194","142","7","85","1","61","14","9","7"
"length_frequency_shuffle","390","0","0","36","34","2","23","0","3","3","2","2"
"edge_position_preserving_shuffle","390","0","0","128","71","6","38","0","62","9","10","4"
"length_frequency_shuffle","391","0","0","41","34","1","21","0","7","5","3","1"
"edge_position_preserving_shuffle","391","0","0","163","102","4","70","2","69","15","7","4"
"length_frequency_shuffle","392","0","0","39","39","1","26","0","1","1","2","1"
"edge_position_preserving_shuffle","392","0","0","126","78","8","43","0","52","15","6","3"
"length_frequency_shuffle","393","0","0","40","37","1","30","0","3","3","2","1"
"edge_position_preserving_shuffle","393","1","1","120","74","2","46","2","49","12","6","1"
"length_frequency_shuffle","394","0","0","49","44","1","26","0","5","3","3","1"
"edge_position_preserving_shuffle","394","0","0","164","76","6","49","0","94","13","12","4"
"length_frequency_shuffle","395","0","0","40","34","1","22","0","7","5","3","1"
"edge_position_preserving_shuffle","395","0","0","171","106","5","63","1","78","12","10","5"
"length_frequency_shuffle","396","0","0","52","49","1","31","0","4","4","2","1"
"edge_position_preserving_shuffle","396","0","0","130","84","2","50","0","50","15","8","2"
"length_frequency_shuffle","397","0","0","50","46","4","22","2","4","4","2","2"
"edge_position_preserving_shuffle","397","0","0","110","66","2","40","1","47","14","7","2"
"length_frequency_shuffle","398","0","0","56","50","2","30","1","8","8","2","2"
"edge_position_preserving_shuffle","398","0","0","137","76","6","41","0","67","14","9","4"
"length_frequency_shuffle","399","0","0","44","40","0","25","1","4","4","2","0"
"edge_position_preserving_shuffle","399","1","1","115","78","5","33","0","39","12","6","4"
"length_frequency_shuffle","400","0","0","41","33","1","25","0","8","3","4","1"
"edge_position_preserving_shuffle","400","0","0","137","73","2","46","0","67","10","9","2"
"length_frequency_shuffle","401","0","0","48","38","3","24","0","12","7","4","3"
"edge_position_preserving_shuffle","401","0","0","216","101","2","64","2","123","8","15","2"
"length_frequency_shuffle","402","0","0","61","53","1","29","0","8","6","3","1"
"edge_position_preserving_shuffle","402","1","3","164","87","7","34","9","93","12","13","3"
"length_frequency_shuffle","403","0","0","49","48","1","37","0","1","1","2","1"
"edge_position_preserving_shuffle","403","0","0","158","105","7","55","0","57","9","7","3"
"length_frequency_shuffle","404","0","0","39","34","3","23","1","6","6","2","3"
"edge_position_preserving_shuffle","404","0","0","178","121","8","61","0","60","12","8","3"
"length_frequency_shuffle","405","0","0","53","45","2","25","0","9","7","3","2"
"edge_position_preserving_shuffle","405","0","0","180","123","4","68","2","64","11","9","2"
"length_frequency_shuffle","406","0","0","46","37","1","30","0","9","9","2","1"
"edge_position_preserving_shuffle","406","0","0","203","136","9","79","1","76","16","10","5"
"length_frequency_shuffle","407","0","0","57","47","0","31","0","11","2","5","0"
"edge_position_preserving_shuffle","407","0","0","156","81","4","50","0","88","10","12","2"
"length_frequency_shuffle","408","0","0","50","45","0","29","0","5","5","2","0"
"edge_position_preserving_shuffle","408","0","0","110","58","2","34","2","56","18","6","2"
"length_frequency_shuffle","409","0","0","40","32","1","23","0","8","4","3","1"
"edge_position_preserving_shuffle","409","0","0","163","116","8","55","0","58","14","10","3"
"length_frequency_shuffle","410","0","0","43","39","1","31","0","4","4","2","1"
"edge_position_preserving_shuffle","410","1","1","143","92","4","50","0","62","14","7","3"
"length_frequency_shuffle","411","0","0","42","36","0","23","0","6","6","2","0"
"edge_position_preserving_shuffle","411","0","0","126","78","3","50","1","50","14","8","3"
"length_frequency_shuffle","412","0","0","56","45","1","29","1","15","6","5","1"
"edge_position_preserving_shuffle","412","0","0","139","78","0","60","0","64","11","9","0"
"length_frequency_shuffle","413","0","0","41","35","1","25","0","7","7","2","1"
"edge_position_preserving_shuffle","413","1","1","139","99","5","50","1","45","14","7","3"
"length_frequency_shuffle","414","0","0","52","46","2","29","0","6","4","3","2"
"edge_position_preserving_shuffle","414","1","1","152","98","2","62","3","65","9","9","1"
"length_frequency_shuffle","415","0","0","46","35","1","27","0","11","7","3","1"
"edge_position_preserving_shuffle","415","0","0","128","87","4","38","0","46","13","7","2"
"length_frequency_shuffle","416","0","0","38","37","1","24","1","2","2","2","1"
"edge_position_preserving_shuffle","416","0","0","177","115","6","58","1","68","13","10","4"
"length_frequency_shuffle","417","0","0","51","46","2","27","0","8","4","3","2"
"edge_position_preserving_shuffle","417","1","3","193","136","1","83","0","67","17","8","1"
"length_frequency_shuffle","418","0","0","43","36","0","27","0","9","9","2","0"
"edge_position_preserving_shuffle","418","0","0","128","92","6","39","1","41","15","6","4"
"length_frequency_shuffle","419","0","0","44","38","2","30","0","7","5","3","2"
"edge_position_preserving_shuffle","419","0","0","159","102","7","58","1","66","13","9","7"
"length_frequency_shuffle","420","0","0","46","44","2","25","0","2","2","2","2"
"edge_position_preserving_shuffle","420","1","1","181","99","5","72","0","95","11","13","2"
"length_frequency_shuffle","421","0","0","39","34","1","19","1","6","4","3","1"
"edge_position_preserving_shuffle","421","0","0","115","64","3","42","0","56","13","8","3"
"length_frequency_shuffle","422","0","0","45","41","0","33","0","4","4","2","0"
"edge_position_preserving_shuffle","422","0","0","176","116","6","69","0","73","10","11","4"
"length_frequency_shuffle","423","0","0","64","55","2","30","1","11","9","3","2"
"edge_position_preserving_shuffle","423","0","0","158","83","7","38","1","79","14","11","2"
"length_frequency_shuffle","424","0","0","43","42","0","36","0","1","1","2","0"
"edge_position_preserving_shuffle","424","0","0","141","69","3","37","0","76","13","10","1"
"length_frequency_shuffle","425","0","0","44","38","3","29","0","8","6","3","3"
"edge_position_preserving_shuffle","425","0","0","243","123","4","61","1","129","12","15","2"
"length_frequency_shuffle","426","0","0","35","30","1","26","0","5","5","2","1"
"edge_position_preserving_shuffle","426","0","0","184","98","8","53","3","94","12","12","4"
"length_frequency_shuffle","427","0","0","42","32","2","21","0","10","8","3","2"
"edge_position_preserving_shuffle","427","0","0","143","73","3","43","0","79","10","12","3"
"length_frequency_shuffle","428","0","0","52","39","1","24","0","15","8","4","1"
"edge_position_preserving_shuffle","428","0","0","155","108","6","57","2","56","14","9","4"
"length_frequency_shuffle","429","0","0","39","36","1","21","0","3","1","3","1"
"edge_position_preserving_shuffle","429","0","0","171","115","4","75","0","57","12","7","2"
"length_frequency_shuffle","430","0","0","35","31","0","22","0","4","4","2","0"
"edge_position_preserving_shuffle","430","0","0","149","88","4","53","1","65","8","10","3"
"length_frequency_shuffle","431","0","0","63","54","2","34","1","10","5","4","2"
"edge_position_preserving_shuffle","431","0","0","141","90","2","62","0","57","12","8","2"
"length_frequency_shuffle","432","0","0","52","44","0","29","1","10","6","3","0"
"edge_position_preserving_shuffle","432","0","0","159","92","10","43","2","78","13","9","5"
"length_frequency_shuffle","433","0","0","45","35","1","24","1","10","8","3","1"
"edge_position_preserving_shuffle","433","0","0","117","72","3","44","3","52","12","9","3"
"length_frequency_shuffle","434","0","0","50","46","2","29","0","4","4","2","2"
"edge_position_preserving_shuffle","434","0","0","153","95","4","53","1","60","10","10","4"
"length_frequency_shuffle","435","0","0","53","49","0","33","0","4","4","2","0"
"edge_position_preserving_shuffle","435","0","0","140","72","9","30","0","77","9","11","4"
"length_frequency_shuffle","436","0","0","45","38","0","21","0","8","3","4","0"
"edge_position_preserving_shuffle","436","0","0","142","91","3","59","2","58","8","8","3"
"length_frequency_shuffle","437","0","0","71","64","3","37","2","7","5","3","3"
"edge_position_preserving_shuffle","437","0","0","142","59","6","28","0","85","8","12","4"
"length_frequency_shuffle","438","0","0","35","35","2","25","0","1","1","2","2"
"edge_position_preserving_shuffle","438","1","1","166","125","8","52","3","59","15","9","4"
"length_frequency_shuffle","439","0","0","33","31","1","21","0","2","2","2","1"
"edge_position_preserving_shuffle","439","0","0","173","95","4","64","0","83","12","12","4"
"length_frequency_shuffle","440","0","0","38","34","0","22","0","4","4","2","0"
"edge_position_preserving_shuffle","440","0","0","135","76","4","42","2","67","14","8","2"
"length_frequency_shuffle","441","0","0","49","37","1","25","0","13","9","3","1"
"edge_position_preserving_shuffle","441","0","0","128","73","6","45","0","60","16","6","4"
"length_frequency_shuffle","442","0","0","75","70","3","31","1","7","7","2","1"
"edge_position_preserving_shuffle","442","0","0","170","132","10","65","1","60","12","9","3"
"length_frequency_shuffle","443","0","0","35","29","0","20","0","6","6","2","0"
"edge_position_preserving_shuffle","443","0","0","193","92","4","52","1","112","9","14","2"
"length_frequency_shuffle","444","0","0","57","52","3","34","0","8","6","3","3"
"edge_position_preserving_shuffle","444","0","0","215","110","8","56","3","114","17","13","4"
"length_frequency_shuffle","445","0","0","57","53","2","30","1","8","8","2","2"
"edge_position_preserving_shuffle","445","0","0","143","93","18","60","0","55","13","9","6"
"length_frequency_shuffle","446","0","0","42","33","1","21","0","10","5","4","1"
"edge_position_preserving_shuffle","446","0","0","138","66","5","39","0","76","9","12","3"
"length_frequency_shuffle","447","0","0","44","39","3","23","0","5","3","3","3"
"edge_position_preserving_shuffle","447","1","1","163","72","1","45","1","97","14","12","1"
"length_frequency_shuffle","448","0","0","39","30","2","22","0","9","7","3","2"
"edge_position_preserving_shuffle","448","0","0","131","77","4","47","0","60","11","8","4"
"length_frequency_shuffle","449","0","0","48","43","1","25","0","6","6","2","1"
"edge_position_preserving_shuffle","449","0","0","165","112","4","68","3","61","15","9","2"
"length_frequency_shuffle","450","0","0","59","52","0","31","0","7","5","3","0"
"edge_position_preserving_shuffle","450","0","0","167","105","11","41","2","73","16","7","2"
"length_frequency_shuffle","451","0","0","37","30","0","22","0","7","7","2","0"
"edge_position_preserving_shuffle","451","0","0","134","72","6","44","0","65","14","10","4"
"length_frequency_shuffle","452","0","0","49","48","0","37","1","1","1","2","0"
"edge_position_preserving_shuffle","452","0","0","115","74","3","53","0","47","16","7","3"
"length_frequency_shuffle","453","0","0","46","37","0","24","1","9","7","3","0"
"edge_position_preserving_shuffle","453","0","0","152","114","12","42","1","43","13","6","3"
"length_frequency_shuffle","454","0","0","64","55","0","29","0","10","8","3","0"
"edge_position_preserving_shuffle","454","2","4","177","119","5","47","9","93","17","12","2"
"length_frequency_shuffle","455","0","0","34","32","0","24","0","2","2","2","0"
"edge_position_preserving_shuffle","455","0","0","178","117","9","65","0","69","10","10","7"
"length_frequency_shuffle","456","0","0","45","41","0","27","0","4","4","2","0"
"edge_position_preserving_shuffle","456","0","0","142","87","2","55","1","59","11","8","2"
"length_frequency_shuffle","457","0","0","47","40","1","29","1","9","4","4","1"
"edge_position_preserving_shuffle","457","1","1","165","104","11","44","2","72","12","10","3"
"length_frequency_shuffle","458","0","0","65","61","3","33","0","5","5","2","3"
"edge_position_preserving_shuffle","458","0","0","124","84","6","42","0","48","13","7","1"
"length_frequency_shuffle","459","0","0","45","30","0","26","0","15","4","5","0"
"edge_position_preserving_shuffle","459","0","0","149","92","6","53","0","59","15","9","2"
"length_frequency_shuffle","460","0","0","37","31","1","21","0","6","6","2","1"
"edge_position_preserving_shuffle","460","0","0","189","142","6","79","1","65","12","10","4"
"length_frequency_shuffle","461","0","0","55","49","0","39","0","6","6","2","0"
"edge_position_preserving_shuffle","461","0","0","177","139","13","65","3","52","9","8","3"
"length_frequency_shuffle","462","0","0","34","30","1","19","0","5","5","2","1"
"edge_position_preserving_shuffle","462","1","1","159","113","10","49","6","65","12","9","3"
"length_frequency_shuffle","463","0","0","44","39","1","21","0","5","5","2","1"
"edge_position_preserving_shuffle","463","0","0","206","137","7","75","4","81","12","12","5"
"length_frequency_shuffle","464","0","0","40","29","0","18","0","11","5","3","0"
"edge_position_preserving_shuffle","464","2","2","184","109","4","58","5","89","13","12","3"
"length_frequency_shuffle","465","0","0","40","38","1","24","1","4","4","2","1"
"edge_position_preserving_shuffle","465","0","0","191","106","9","57","5","109","13","14","4"
"length_frequency_shuffle","466","0","0","47","41","2","30","1","6","6","2","2"
"edge_position_preserving_shuffle","466","0","0","181","88","5","47","0","95","14","12","3"
"length_frequency_shuffle","467","0","0","43","37","0","29","0","6","6","2","0"
"edge_position_preserving_shuffle","467","1","1","267","187","19","98","2","98","13","13","5"
"length_frequency_shuffle","468","0","0","37","35","1","27","0","2","2","2","1"
"edge_position_preserving_shuffle","468","0","0","153","69","1","42","0","86","8","12","1"
"length_frequency_shuffle","469","0","0","38","35","1","24","0","3","3","2","1"
"edge_position_preserving_shuffle","469","0","0","136","80","5","39","3","64","15","9","3"
"length_frequency_shuffle","470","0","0","47","37","1","21","0","11","6","4","1"
"edge_position_preserving_shuffle","470","0","0","139","92","8","40","2","55","12","9","3"
"length_frequency_shuffle","471","0","0","53","51","3","29","1","3","3","2","1"
"edge_position_preserving_shuffle","471","1","1","155","92","4","44","2","73","8","11","3"
"length_frequency_shuffle","472","0","0","51","44","1","31","0","7","5","3","1"
"edge_position_preserving_shuffle","472","0","0","135","107","6","62","1","31","16","5","4"
"length_frequency_shuffle","473","0","0","31","29","1","21","0","2","2","2","1"
"edge_position_preserving_shuffle","473","0","0","135","79","15","23","0","59","17","7","1"
"length_frequency_shuffle","474","0","0","57","51","0","32","0","6","6","2","0"
"edge_position_preserving_shuffle","474","1","1","151","101","7","53","0","61","10","10","5"
"length_frequency_shuffle","475","0","0","55","51","3","25","1","5","5","2","3"
"edge_position_preserving_shuffle","475","0","0","122","75","5","49","0","53","13","7","3"
"length_frequency_shuffle","476","0","0","50","40","2","31","0","11","7","3","2"
"edge_position_preserving_shuffle","476","1","3","192","130","6","62","0","79","13","11","4"
"length_frequency_shuffle","477","0","0","46","40","2","24","0","7","5","3","2"
"edge_position_preserving_shuffle","477","0","0","185","93","6","43","3","109","12","14","2"
"length_frequency_shuffle","478","0","0","38","33","0","21","0","6","6","2","0"
"edge_position_preserving_shuffle","478","0","0","181","107","9","57","0","88","12","12","5"
"length_frequency_shuffle","479","0","0","46","40","0","30","1","8","6","3","0"
"edge_position_preserving_shuffle","479","0","0","155","108","10","50","3","59","10","9","3"
"length_frequency_shuffle","480","0","0","53","47","0","33","0","6","6","2","0"
"edge_position_preserving_shuffle","480","0","0","164","102","6","53","1","67","12","10","1"
"length_frequency_shuffle","481","0","0","51","44","2","26","0","8","6","3","2"
"edge_position_preserving_shuffle","481","0","0","173","122","5","66","1","54","10","9","3"
"length_frequency_shuffle","482","0","0","40","36","3","22","1","4","4","2","1"
"edge_position_preserving_shuffle","482","1","1","180","106","7","53","5","90","9","13","4"
"length_frequency_shuffle","483","0","0","41","33","1","23","0","8","6","3","1"
"edge_position_preserving_shuffle","483","0","0","199","138","8","79","3","84","14","11","3"
"length_frequency_shuffle","484","0","0","45","41","1","28","1","4","4","2","1"
"edge_position_preserving_shuffle","484","1","1","157","94","5","48","3","79","11","11","3"
"length_frequency_shuffle","485","0","0","48","43","0","31","0","6","6","2","0"
"edge_position_preserving_shuffle","485","1","1","154","94","12","34","4","72","12","10","4"
"length_frequency_shuffle","486","0","0","50","44","0","28","1","7","5","3","0"
"edge_position_preserving_shuffle","486","0","0","156","87","6","48","1","79","13","10","1"
"length_frequency_shuffle","487","0","0","50","46","0","33","0","5","5","2","0"
"edge_position_preserving_shuffle","487","0","0","125","75","4","39","2","65","15","10","4"
"length_frequency_shuffle","488","0","0","52","49","0","30","1","3","3","2","0"
"edge_position_preserving_shuffle","488","0","0","153","104","5","62","0","52","14","8","2"
"length_frequency_shuffle","489","0","0","55","47","1","31","0","9","7","3","1"
"edge_position_preserving_shuffle","489","0","0","126","87","5","47","1","45","13","8","3"
"length_frequency_shuffle","490","0","0","41","38","1","24","0","3","3","2","1"
"edge_position_preserving_shuffle","490","0","0","141","83","2","51","2","68","13","10","2"
"length_frequency_shuffle","491","0","0","53","46","2","26","0","7","7","2","2"
"edge_position_preserving_shuffle","491","0","0","132","76","2","49","1","62","14","9","2"
"length_frequency_shuffle","492","0","0","48","42","1","27","1","6","6","2","1"
"edge_position_preserving_shuffle","492","0","0","159","97","6","64","0","66","14","8","4"
"length_frequency_shuffle","493","0","0","59","54","2","31","0","6","6","2","2"
"edge_position_preserving_shuffle","493","0","0","136","97","8","48","0","44","15","7","4"
"length_frequency_shuffle","494","0","0","33","24","1","23","0","9","7","3","1"
"edge_position_preserving_shuffle","494","0","0","184","110","5","64","0","83","13","9","3"
"length_frequency_shuffle","495","0","0","43","38","1","23","0","5","5","2","1"
"edge_position_preserving_shuffle","495","0","0","134","90","3","56","0","51","13","7","3"
"length_frequency_shuffle","496","0","0","61","53","7","18","2","9","9","2","3"
"edge_position_preserving_shuffle","496","0","0","204","86","3","48","2","129","12","15","3"
"length_frequency_shuffle","497","0","0","32","32","0","26","0","1","1","2","0"
"edge_position_preserving_shuffle","497","0","0","119","73","2","46","1","55","12","7","2"
"length_frequency_shuffle","498","0","0","43","40","0","28","0","4","4","2","0"
"edge_position_preserving_shuffle","498","0","0","111","72","5","36","1","42","13","7","3"
"length_frequency_shuffle","499","0","0","48","44","2","21","0","4","4","2","2"
"edge_position_preserving_shuffle","499","0","0","154","69","4","34","1","91","15","12","2"
"length_frequency_shuffle","500","0","0","48","41","0","27","0","7","7","2","0"
"edge_position_preserving_shuffle","500","0","0","157","108","6","52","0","61","8","10","1"
