object,site,region,type,material,shape,symbol,condition,complete,prev,next,next_is_terminal_partner,text
M-239,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,235,112,false,+740-760-921-235-002-112+
M-240,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,032,861,true,+520-240-220-032-002-861-603+
M-242,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,721,301,false,+740-721-002-301-350+
M-245,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,503,817,true,+740-760-070-921-460-503-002-817+
M-246,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Fair,Y,233,817,true,+740-503-235-233-002-817+
M-248,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,415,705,false,+740-100-415-002-705-590+
M-251,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Fair,Y,003,125,false,+390-003-002-125-350+
M-253,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,803,368,false,+527-550-803-002-368-518+
M-258,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Fine,Y,717,861,true,+384-575/892-706-717-002-861+
M-259,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Good,Y,231,817,true,+520-231-002-817+
M-260,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Zebu,Good,Y,014,820,true,+090-740-220-014-002-820+
M-267,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Buff,Fair,Y,155,679,false,+740-630-155-002-679+
M-272,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Goat:6,Fine,Y,<START>,818,false,+002-818+
M-278,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Good,Y,004,817,true,+621-390-004-002-817+
M-279,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Poor,N,415,700,false,+520-220-415-002-700-000+
M-280,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Fair,Y,240,944,false,+740-482-240-002-944-920-140+
M-285,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Fine,Y,240,861,true,+504-350-240-002-861+
M-289,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Tigr,Fine,Y,240,817,true,+740-176-240-002-817+
M-295,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Comp,Poor,?,740,861,true,+621/090-740/002-861+
M-305,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Anth,Poor,N,241,000,false,]000-220-241-002-000[
M-308,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,T-M-T,Good,Y,220,727,false,+520-220-002-727-317+
M-309,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,T-A-T,Good,Y,061,824,false,+224-740-061-002-824+
M-311,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Comp,Good,Y,401,368,false,+401-002-368-165+
M-314,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,NA,Good,Y,235,820,true,+953-817-390-125-308-809-033/740-760-706-466/520-231-240-235-002-820+
M-315,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,NA,Good,Y,034,374,false,+390-034-002-374-228-741+
M-316,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,NA,Poor,Y,710,861,true,+367-390-710-002-861+
M-318,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Good,Y,003,031,false,+390-003-002-031-575+
M-325,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Good,Y,803,850,false,+241-803-002-850-493+
M-325,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Good,Y,803,850,false,+241-803-002-850-491+
M-327,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,519,861,true,+740-519-002-861+
M-330,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,NA,Fair,Y,<START>,861,true,+002-861-698+
M-354,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,236,906,false,+740-729-407-845-236-002-906-125+
M-355,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,235,861,true,+740-877-032-033-705-231-235-002-861-360-520-919-140+
M-358,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,806,502,false,+003-001-520-240-806-002-502-031+
M-359,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,803,388,false,+740-405-590-220-235-803-002-388-385-705-632+
M-362,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fine,Y,503,817,true,+740-007-503-002-817+
M-364,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,354,817,true,+740-354-002-817+
M-367,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Poor,N,032,454,false,+001-226-032-002-454+
M-375,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,032,820,true,+740-100-233-220-032-002-820+
M-376,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,176,861,true,+740-100-176-002-861-533-717+
M-381,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,798,820,true,+740-055-220-032-798-002-820+
M-384,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,803,820,true,+740-900-003-803-002-820+
M-385,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,004,820,true,+407-004-002-820+
M-391,Mohenjo-daro,Lower Indus,SEAL:R,NA,cuboid-convex,NA,Good,Y,805,861,true,+405-845-686-740-793-003-233-805-002-861-533-717+
M-393,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,806,540,false,+679-740-575-017-240-806-002-540+
M-408,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid,NA,Good,Y,061,817,true,+407-061-002-817+
M-413,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,prism,NA,Good,?,798,354,false,]415-798-002-354-004+
M-437,Mohenjo-daro,Lower Indus,TAG:P,Clay,square,Zebu,Fair,Y,590,820,true,+740-390-590-002-820+
M-451,Mohenjo-daro,Lower Indus,TAB:B,NA,rectangular,Mult,Poor,N,000,520,false,+000-002-520-000-000-000-906-388+
M-453,Mohenjo-daro,Lower Indus,TAB:B,Faience,rectangular,Scene,Fair,Y,220,861,true,+740-032-840-220-002-861+
M-454,Mohenjo-daro,Lower Indus,TAB:B,NA,rectangular,Scene,Poor,N,240,000,false,+740-032-840-240-002-000+
M-471,Mohenjo-daro,Lower Indus,TAB:B,NA,rectangular,NA,Fair,Y,191,817,true,+740-100-415-191-002-817+
M-491,Mohenjo-daro,Lower Indus,TAB:B,Clay,prism,Scene,Poor,Y,803,840,false,+850-140-803-002-840-016+
M-510,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,NA,Poor,Y,176,326,false,+405-240-740-176-002-326+
M-577,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Othr,Poor,Y,004,365,false,+617-142-597-032-905/407-004-002-365-460-495+
M-623,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:W,Poor,Y,798,299,false,+740-760-175-176-220-415-798-002-299-530-820+
M-628,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,233,291,false,+740-560-233-002-291-690-564+
M-629,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:W,Fine,Y,798,861,true,+679-740-176-240-798-002-861+
M-636,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,N,032,000,false,+527-555-235-220-032-002-000-216+
M-639,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1,Poor,Y,415,190,false,+226-415-002-190-751+
M-644,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,240,817,true,+740-585-017-740-240-002-817-090-370+
M-646,Mohenjo-daro,Lower Indus,SEAL:S,Paste,square,Bull1,Poor,N,000,817,true,+740-760-440-000-002-817+
M-650,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,519,817,true,+520-220-415-519-002-817+
M-651,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,240,820,true,+740-717-220-240-002-820+
M-653,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,235,861,true,+679-740-235-002-861+
M-655,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Fair,Y,233,220,false,+740-717-233-002-220-880-689+
M-658,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,N,070,002,false,]000-003-070-002-002-817+
M-665,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,350,374,false,+871-740-643/740-798-463-350-002-374-575+
M-677,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:L,Fair,Y,242,861,true,+740-923-070-032-033-706-231-242-002-861-901+
M-678,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,806,031,false,+740-752-006-503-236-806-002-031-502+
M-683,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,231,298,false,+740-798-231-002-298-460-032+
M-692,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,004,817,true,+000-004-002-817-000[
M-699,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,415,130,false,+740-100-415-002-130-035-171+
M-701,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,N,000,824,false,]000-002-824+
M-703,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,N,235,817,true,+000-000-233-235-002-817+
M-706,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,240,861,true,+740-773-240-002-861-031+
M-708,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,061,390,false,+740-061-002-390-140+
M-713,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Fair,Y,717,764,false,+226-803-717-002-764+
M-714,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,803,861,true,+740-585-017-033-705-233-798-803-002-861-603+
M-717,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,061,861,true,+740-142-061-002-861+
M-720,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,032,817,true,+000-740-923-220-032-002-817+
M-721,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,233,111,false,]000-233-002-111-700+
M-722,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,032,817,true,+740-585-240-220-032-002-817+
M-723,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Fair,Y,032,861,true,+740-460-510-235-220-032-002-861+
M-724,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:J,Good,Y,790,861,true,+390-721-790-002-861+
M-726,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:T,Fair,Y,803,820,true,+031-850-140-236-220-032-803-002-820+
M-727,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,415,820,true,+740-100-415-002-820+
M-728,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:V,Good,Y,017,820,true,+740-575-017-002-820+
M-732,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:V,Good,Y,350,817,true,+520-400-350-002-817+
M-735,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:U,Poor,Y,235,390,false,+740-760-235-002-390-125-195+
M-739,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:J,Fair,Y,415,031,false,+090-740-100-415-002-031-350-550-692+
M-756,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,176,812,false,+740-100-176-002-812-031+
M-761,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,?,<START>,741,false,]002-741-455-125+
M-762,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Fair,Y,140,<END>,false,+226-140-002+
M-776,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,017,817,true,+740-032-840-585-017-002-817+
M-780,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,156,820,true,+740-773-156-002-820+
M-781,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,706,861,true,+520-033-706-002-861+
M-783,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,061,861,true,+151-061-002-861+
M-785,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Poor,Y,705,861,true,+740-255-705-002-861+
M-787,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Poor,N,000,000,false,+151-000-002-000+
M-788,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:J,Fair,Y,235,824,false,+740-482-235-002-824+
M-792,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,017,817,true,+679-740-575-017-002-817+
M-793,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:W,Poor,Y,798,861,true,+740-388-235-240-798-002-861+
M-794,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,231,861,true,+804-231-002-861+
M-795,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,Y,260,817,true,+156-260-002-817+
M-809,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Good,Y,495,595,false,+520-460-495-002-595-906+
M-813,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:S,Good,Y,590,861,true,+161-390-590-002-861+
M-815,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Bull1:W,Good,Y,798,861,true,+520-070-233-798-002-861+
M-816,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,Y,255,817,true,+740-690-435-255-002-817+
M-819,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,803,817,true,+520-233-240-803-002-817+
M-827,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,N,240,000,false,+226-240-002-000[
M-833,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,240,808,false,+527-550-740-240-002-808+
M-834,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Bull1:J,Good,Y,900,861,true,+151-390-590-900-002-861+
M-835,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,N,000,817,true,+090-740-035-171-000-002-817+
M-839,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:L,Good,Y,415,817,true,+740-100-415-002-817+
M-845,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Poor,N,061,460,false,+000-061-002-460-632+
M-849,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,350,550,false,+151-350-002-550-615+
M-869,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:S,Poor,Y,415,861,true,+740-100-415-002-861+
M-851,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Fair,Y,590,817,true,+621-740-390-590-002-817+
M-853,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,792,817,true,+090-740-792-002-817+
M-855,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Fair,Y,590,817,true,+861-260-832-390-590-002-817-690-544+
M-866,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Poor,N,233,000,false,+740-482-233-002-000+
M-868,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:W,Fair,Y,220,817,true,+520-033-705-231-220-002-817+
M-872,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:I,Poor,Y,016,824,false,+390-016-002-824+
M-889,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Poor,Y,803,820,true,+740-384-032-803-002-820+
M-897,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,235,817,true,+527-550-235-002-817+
M-900,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,838,820,true,+740-390-590-233-220-415-798-838-002-820+
M-901,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,125,861,true,+090-125-002-861+
M-902,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,NA,Poor,N,798,000,false,+740-798-002-000-090+
M-903,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,772,817,true,+740-772-002-817+
M-918,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1,Poor,Y,869,861,true,+390-869-002-861+
M-924,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,N,772,817,true,+000-772-002-817+
M-934,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:W,Good,Y,235,861,true,+526-555-235-002-861+
M-937,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,031,900,false,+740-460-503-031-002-900-615+
-:3335.1,Unknown,Other,SEAL:S,NA,square,Bull1:J,Good,Y,032,390,false,+740-205-032-002-390-590-032+
M-941,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Good,N,031,861,true,+000-642-240-031-002-861+
M-948,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Fair,Y,003,388,false,+426-003-002-388-031+
M-957,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1,Poor,Y,705,577,false,+740-760-705-002-577+
M-958,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,240,900,false,+740-772-240-002-900-003-590+
M-979,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,Bull1:J,Good,Y,240,900,false,+740-773-240/002-900-003-590+
M-982,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:U,Fair,Y,825,<END>,false,+740-825-002+
M-1002,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1,Poor,Y,031,315,false,+740-373-031-002-315-850+
M-1027,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,NA,Poor,N,415,435,false,+740-176-220-415-002-435-000[
M-1044,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull,Poor,Y,032,861,true,+520-220-032-002-861+
M-1045,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,NA,Poor,N,032,820,true,+740-100-415-070-032-002-820-000+
M-1055,Mohenjo-daro,Lower Indus,SEAL,Steatite,NA,NA,Poor,N,388,000,false,+000-850-140-388-002-000[
M-1064,Mohenjo-daro,Lower Indus,SEAL,Steatite,NA,NA,Poor,N,235,<END>,false,]000-235-002[
M-1082,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,NA,Poor,N,235,065,false,]000-235-002-065-834+
M-1085,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,350,817,true,+740-100-415-798-460-350-002-817+
M-1088,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,540,820,true,+740-540-002-820+
M-1089,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Fair,Y,590,374,false,+151-390-590-002-374-840+
M-1107,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Good,N,103,000,false,+565-740-240-103-002-000+
M-1109,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Poor,Y,231,820,true,+520-231-002-820+
M-1110,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Poor,Y,104,817,true,+740-615-104-002-817+
M-1112,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Fair,Y,220,130,false,+740-585-220/002-130-035-171+
M-1114,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Poor,Y,140,741,false,+740-140-002-741-060-920+
M-1115,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Poor,Y,233,861,true,+740-335-233-002-861+
M-1119,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Zebu,Good,Y,803,820,true,+740-803-002-820-741+
M-1126,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Buff,Poor,N,031,817,true,+820/000-000-031-002-817+
M-1127,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Buff,Fair,Y,140,<END>,false,+060-692/740-269-140-002+
M-1135,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Rhin,Good,Y,061,400,false,+740-061-002-400-703+
M-1136,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Rhin,Poor,?,240,820,true,]740-717-240-002-820+
M-1137,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,NA,Poor,Y,904,820,true,+740-904-002-820+
M-1138,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Rhin,Fair,Y,017,820,true,+740-585-017-002-820+
M-1139,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Rhin,Poor,Y,621,820,true,+740-416-621-002-820+
M-1148,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Good,Y,220,861,true,+520-220-002-861+
M-1150,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Poor,Y,240,456,false,+621-520-231-240-002-456+
M-1152,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Good,Y,235,861,true,+740-032-840-235-002-861+
M-1155,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Good,Y,335,033,false,+740-760-335-002-033-705+
M-1159,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Good,Y,032,168,false,+232-220-032-002-168-032+
M-1160,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Fair,N,031,861,true,+000-136-031-002-861+
M-1161,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Elep,Good,Y,031,861,true,+520-233-031-002-861+
M-1166,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Tigr,Good,Y,240,817,true,+740-923-240-002-817+
M-1169,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Comp,Good,Y,072,270,false,+520-033-705-220-032/231-072-002-270-633-032+
M-1177,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,CompBull,Good,Y,760,817,true,+740-760-002-817+
M-1178,Mohenjo-daro,Lower Indus,SEAL:S,Faience,square,NA,Poor,N,<START>,820,true,+002-820-906-000[
M-1188,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,NA,Poor,N,240,244,false,]000/000-125-632-032/240-002-244-632+
M-1189,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,NA,Poor,N,220,824,false,]861-892-692/000-220-002-824[
M-1206,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Good,Y,255,861,true,+740-690-435-255-002-861+
M-1226,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,Gaur,Fair,Y,233,817,true,+520-033-705-235-233-002-817+
M-1233,Mohenjo-daro,Lower Indus,SEAL:S,Steatite,square,NA,Poor,Y,850,<END>,false,+033-700-850-002+
M-1263,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Poor,N,480,570,false,+000-740-000-520-480-002-570+
M-1267,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Poor,Y,175,861,true,+416-001-740-720-175-002-861+
M-1268,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,176,817,true,+740-455-176-002-817+
M-1273,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,055,861,true,+740-055-002-861-603+
M-1284,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Poor,Y,806,502,false,+416-001-520-240-806-002-502-031+
M-1297,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Poor,?,806,824,false,]806-002-824+
M-1299,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,233,817,true,+527-550-033-705-233-002-817+
M-1306,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,806,820,true,+740-405-590-806-002-820+
M-1311,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,354,817,true,+520-400-354-002-817+
M-1318,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,503,880,false,+740-460-503-002-880+
M-1319,Mohenjo-daro,Lower Indus,SEAL:R,NA,cuboid-convex,NA,Poor,?,806,904,false,]798-806-002-904-346+
M-1341,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,016,595,false,+016-002-595-342-632+
M-1343,Mohenjo-daro,Lower Indus,SEAL,Steatite,NA,NA,Poor,Y,235,861,true,+740-390-590-235-002-861+
M-1346,Mohenjo-daro,Lower Indus,SEAL:R,NA,rectangular,NA,Poor,Y,803,820,true,+740-861-032-233-803-002-820+
M-1354,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid,NA,Poor,N,000,820,true,]000-002-820+
M-1358,Mohenjo-daro,Lower Indus,SEAL:R,NA,cuboid,NA,Poor,Y,032,900,false,+032-002-900-285+
M-1369,Mohenjo-daro,Lower Indus,SEAL:C,Steatite,circular,NA,Poor,N,832,060,false,]000-055-592-140-832-002-060-820[
M-1381,Mohenjo-daro,Lower Indus,POT:T:s,Clay,NA,NA,Fair,Y,550,370,false,+527-550-002-370+
M-1385,Mohenjo-daro,Lower Indus,TAG:P,Clay,circular,Bull1,Poor,Y,032,817,true,+740-760-032-002-817+
M-1386,Mohenjo-daro,Lower Indus,TAB:B,Clay,NA,NA,Poor,N,235,031,false,]000-000-335-235-002-031-480[
M-1391,Mohenjo-daro,Lower Indus,TAG:O,Clay,square,Bull1,Poor,N,798,817,true,+000-000-000-798-002-817-032-320+
M-1400,Mohenjo-daro,Lower Indus,TAB:B,Clay,rectangular-rounded,Mult,Poor,N,368,<END>,false,+871-000-740-368-002+
M-1420,Mohenjo-daro,Lower Indus,TAB:B,Faience,NA,NA,Poor,?,838,817,true,]838-002-817+
M-1421,Mohenjo-daro,Lower Indus,TAB:B,Faience,rectangular-rounded,NA,Poor,N,000,<END>,false,+000-000-002[
M-1426,Mohenjo-daro,Lower Indus,TAB:B,Clay,prism,NA,Fair,Y,798,861,true,+740-760-036-220-415-798-002-861+
M-1427,Mohenjo-daro,Lower Indus,TAG:O,Clay,NA,Bull1,Fair,Y,140,220,false,+484-140-002-220-627-615-906-388+
