"label_filter","shuffle_block","iteration","model","evaluated_rows","label_count","accuracy","macro_f1","macro_recall"
"all_eligible","length","7","edge_frame","1750","12","0.232","0.090659","0.108756"
"all_eligible","length","7","token_nb","1750","12","0.241143","0.114439","0.13229"
"all_eligible","length","8","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","length","8","length","1750","12","0.399429","0.195489","0.23156"
"all_eligible","length","8","type","1750","12","0.194857","0.054762","0.086504"
"all_eligible","length","8","site","1750","12","0.208","0.039336","0.084418"
"all_eligible","length","8","type_site","1750","12","0.198857","0.060587","0.087852"
"all_eligible","length","8","length_type_site","1750","12","0.348571","0.190489","0.205849"
"all_eligible","length","8","edge_frame","1750","12","0.224571","0.095817","0.111078"
"all_eligible","length","8","token_nb","1750","12","0.231429","0.105971","0.126566"
"all_eligible","length","9","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","length","9","length","1750","12","0.399429","0.195489","0.23156"
"all_eligible","length","9","type","1750","12","0.227429","0.072122","0.101804"
"all_eligible","length","9","site","1750","12","0.222286","0.053583","0.092413"
"all_eligible","length","9","type_site","1750","12","0.206857","0.054346","0.08571"
"all_eligible","length","9","length_type_site","1750","12","0.341714","0.181588","0.204305"
"all_eligible","length","9","edge_frame","1750","12","0.234286","0.104288","0.118493"
"all_eligible","length","9","token_nb","1750","12","0.229714","0.104698","0.120436"
"all_eligible","length","10","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","length","10","length","1750","12","0.399429","0.195489","0.23156"
"all_eligible","length","10","type","1750","12","0.207429","0.047057","0.083545"
"all_eligible","length","10","site","1750","12","0.205143","0.028835","0.080421"
"all_eligible","length","10","type_site","1750","12","0.204571","0.061355","0.088158"
"all_eligible","length","10","length_type_site","1750","12","0.357143","0.191307","0.207484"
"all_eligible","length","10","edge_frame","1750","12","0.237143","0.091476","0.112141"
"all_eligible","length","10","token_nb","1750","12","0.236","0.112049","0.129488"
"all_eligible","length","11","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","length","11","length","1750","12","0.399429","0.195489","0.23156"
"all_eligible","length","11","type","1750","12","0.223429","0.069493","0.09835"
"all_eligible","length","11","site","1750","12","0.22","0.04377","0.088291"
"all_eligible","length","11","type_site","1750","12","0.224571","0.072819","0.098665"
"all_eligible","length","11","length_type_site","1750","12","0.348571","0.198702","0.210068"
"all_eligible","length","11","edge_frame","1750","12","0.243429","0.115665","0.124905"
"all_eligible","length","11","token_nb","1750","12","0.226286","0.109573","0.126035"
"all_eligible","length","12","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","length","12","length","1750","12","0.399429","0.195489","0.23156"
