"scope","target_cisi","triad_rank","independence_rank","grade","copy_pressure","packet_lane","packet_priority","long_tokens_034","long_tokens_033","long_tokens_032","long_family_034","long_family_033","long_family_032"
"all_triads","H-2155","15","59","F_partial_or_weak","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT"
"all_triads","H-953","16","70","F_partial_or_weak","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT"
"all_triads","H-1830","17","83","F_partial_or_weak","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT"
"all_triads","H-1831","18","63","F_partial_or_weak","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT"
"all_triads","H-938","19","66","C_visual_object_matched","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","220;415;520","013;740;840","004;740;900","220;415;520","013;740;840","004;740;900"
"all_triads","H-892","20","19","F_partial_or_weak","moderate_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","176;336;400;740","240;636;690;740","240;630;690;740","176;336;400;740","240;636;690;740","240;630;690;740"
"all_triads","H-945","21","79","F_partial_or_weak","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT"
"all_triads","H-1877","22","42","E_object_only","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","400;516;775","220;236;400","118;156;400","400;516;775","220;236;400","118;156;400"
"all_triads","H-1880","23","27","E_object_only","moderate_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","033;520","220;236;400","118;156;400","033;520","220;236;400","118;156;400"
"all_triads","H-1937","24","12","D_object_plus_some_context","moderate_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","255;435;690;740","352;400;520","176;400;740;791","255;435;690;740","352;400;520","176;400;740;791"
"all_triads","H-2154","25","74","F_partial_or_weak","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT"
"all_triads","H-2208","26","35","D_object_plus_some_context","moderate_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","027;032;400;740","025;032;400;740","032;700;741;840","027;032;400;740","025;032;400;740","032;700;741;840"
"all_triads","H-1876","27","40","E_object_only","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","400;516;775","033;384;400;740","001;031;140;740","400;516;775","033;384;400;740","001;031;140;740"
"all_triads","H-853","28","41","F_partial_or_weak","moderate_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","177;231;740","031;100;400;705;740","003;335;400;740","177;231;740","031;100;400;705;740","003;335;400;740"
"all_triads","H-933","29","87","F_partial_or_weak","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","176;400;740","013;740;840","004;740;900","176;400;740","013;740;840","004;740;900"
"all_triads","H-358","30","43","F_partial_or_weak","moderate_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","156;255;400;435","176;400;740","233;527;550","156;255;400;435","176;400;740","233;527;550"
"all_triads","H-308","31","61","A_strict_local_minimal_contrast","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","176;400;740","176;400;740","220;415;520","176;400;740","176;400;740","220;415;520"
