"policy","first_code","last_code","first_sign","last_sign","count","examples","review_status"
"p385_merge_only","I","S","L740","L684","1","M-112","anchor_pair_only_not_semantic"
"p385_merge_only","W","S","L031","L745","1","M-9","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","T","L740","L817","6","M-14;M-58;M-90;M-116;M-144;M-164","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","T","L740","L861","4","M-47;M-118;M-152;M-170","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","D","L740","L820","3","M-31;M-157;M-174","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","S","L740","L416","3","M-91;M-114;M-182","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","T","L740","L692","3","M-5;M-69;M-146","anchor_pair_only_not_semantic"
"raw_lipi_numeric","D","T","L390","L817","2","M-32;M-101","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","M","L740","L032","2","M-38;M-124","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","W","L740","L920","2","M-84;M-113","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","D","L520","L820","2","M-117;M-163","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","W","L740","L806","2","M-30;M-173","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","W","L740","L840","2","M-56;M-143","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","T","L090","L861","2","M-15;M-100","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","T","L090","L140","2","M-24;M-53","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","S","L090","L853","2","M-104;M-184","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","T","L740","L140","2","M-51;M-109","anchor_pair_only_not_semantic"
"raw_lipi_numeric","M","S","L033","L361","1","M-139","anchor_pair_only_not_semantic"
"raw_lipi_numeric","M","S","L220","L864","1","M-151","anchor_pair_only_not_semantic"
"raw_lipi_numeric","M","S","L368","L125","1","M-13","anchor_pair_only_not_semantic"
"raw_lipi_numeric","M","S","L001","L371","1","M-1","anchor_pair_only_not_semantic"
"raw_lipi_numeric","M","W","L368","L920","1","M-59","anchor_pair_only_not_semantic"
"raw_lipi_numeric","D","D","L390","L820","1","M-103","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","W","L520","L031","1","M-135","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","W","L740","L031","1","M-155","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","D","L236","L820","1","M-54","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","T","L520","L817","1","M-75","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","T","L156","L817","1","M-80","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","T","L090","L692","1","M-26","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","S","L740","L880","1","M-145","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","S","L740","L832","1","M-150","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","W","L740","L550","1","M-149","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","D","L413","L820","1","M-108","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","M","L527","L233","1","M-88","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","M","L151","L741","1","M-160","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","T","L872","L692","1","M-134","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","T","L832","L861","1","M-77","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","T","L595","L140","1","M-74","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","T","L527","L817","1","M-42","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","T","L407","L692","1","M-171","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","T","L350","L861","1","M-21","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","T","L226","L692","1","M-70","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","T","L136","L861","1","M-142","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","S","L932","L055","1","M-18","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","S","L717","L521","1","M-3","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","S","L706","L632","1","M-8","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","S","L527","L388","1","M-133","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","S","L405","L850","1","M-172","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","S","L400","L104","1","M-87","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","S","L400","L072","1","M-123","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","S","L391","L005","1","M-40","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","S","L269","L190","1","M-153","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","S","L226","L693","1","M-57","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","S","L154","L545","1","M-102","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","S","L151","L563","1","M-119","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","S","L151","L095","1","M-71","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","M","L565","L176","1","M-127","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","S","L740","L790","1","M-131","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","I","L226","L520","1","M-147","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","S","L740","L717","1","M-52","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","S","L740","L556","1","M-148","anchor_pair_only_not_semantic"
