bigram,exact_cells,best_next,best_hit,best_share,sites,types
220-004,4,<END>,2,0.5,3,3
236-220,4,<END>,2,0.5,3,2
405-003,4,<END>,2,0.5,3,3
407-790,4,032,2,0.5,3,1
740-463,4,503,2,0.5,3,4
741-572,4,368,2,0.5,3,1
003-741,4,060,2,0.5,2,1
032-803,4,002,2,0.5,2,2
032-806,4,<END>,2,0.5,2,2
032-900,4,003,2,0.5,2,2
048-741,4,851,2,0.5,2,3
070-032,4,033,2,0.5,2,1
100-220,4,<END>,2,0.5,2,2
154-003,4,<END>,2,0.5,2,2
156-176,4,<END>,2,0.5,2,3
176-240,4,002,2,0.5,2,2
235-240,4,<END>,2,0.5,2,2
400-226,4,<END>,2,0.5,2,2
520-072,4,219,2,0.5,2,2
615-495,4,002,2,0.5,2,2
740-269,4,511,2,0.5,2,1
740-519,4,<END>,2,0.5,2,3
740-540,4,002,2,0.5,2,3
798-235,4,<END>,2,0.5,2,1
832-904,4,001,2,0.5,2,2
904-240,4,<END>,2,0.5,2,2
032-033,4,705,2,0.5,1,3
235-233,4,002,2,0.5,1,1
255-240,4,235,2,0.5,1,2
400-236,4,220,2,0.5,1,2
460-350,4,002,2,0.5,1,2
923-033,4,705,2,0.5,1,2
923-240,4,002,2,0.5,1,2
001-031,5,<END>,2,0.4,4,4
240-001,5,820,2,0.4,4,2
255-832,5,<END>,2,0.4,4,3
390-017,5,<END>,2,0.4,4,2
240-803,5,<END>,2,0.4,3,2
423-003,5,001,2,0.4,3,2
520-460,5,<END>,2,0.4,3,1
740-233,5,240,2,0.4,3,2
806-472,5,<END>,2,0.4,3,2
001-595,5,095,2,0.4,2,3
002-900,5,003,2,0.4,2,3
003-900,5,740,2,0.4,2,3
235-001,5,920,2,0.4,2,2
405-061,5,033,2,0.4,2,2
525-550,5,<END>,2,0.4,2,2
565-740,5,220,2,0.4,2,2
590-033,5,705,2,0.4,2,4
706-235,5,<END>,2,0.4,2,2
760-001,5,233,2,0.4,2,1
798-231,5,<END>,2,0.4,2,2
142-001,5,368,2,0.4,1,2
526-550,5,220,2,0.4,1,2
236-002,6,861,2,0.3333333333333333,4,3
031-060,6,820,2,0.3333333333333333,3,2
740-101,6,002,2,0.3333333333333333,3,2
004-001,6,740,2,0.3333333333333333,2,3
337-484,6,<END>,2,0.3333333333333333,2,3
760-840,6,552,2,0.3333333333333333,2,2
350-002,6,817,2,0.3333333333333333,1,1
400-154,6,440,2,0.3333333333333333,1,2
400-156,6,384,2,0.3333333333333333,1,3
003-001,7,900,2,0.2857142857142857,3,3
032-820,7,740,2,0.2857142857142857,3,4
140-002,7,<END>,2,0.2857142857142857,3,2
405-004,7,002,2,0.2857142857142857,3,4
590-741,7,060,2,0.2857142857142857,3,2
176-220,7,235,2,0.2857142857142857,2,3
255-705,7,<END>,2,0.2857142857142857,2,2
390-844,7,<END>,2,0.2857142857142857,2,1
705-231,7,002,2,0.2857142857142857,2,3
740-455,7,240,2,0.2857142857142857,2,3
032-031,8,<END>,2,0.25,3,2
032-741,8,390,2,0.25,3,2
390-125,8,<END>,2,0.25,3,1
005-002,8,817,2,0.25,2,3
016-002,9,820,2,0.2222222222222222,5,2
158-806,9,467,2,0.2222222222222222,2,2
407-845,9,033,2,0.2222222222222222,2,3
002-031,10,892,2,0.2,4,2
002-368,11,260,2,0.18181818181818182,6,1
900-003,11,<END>,2,0.18181818181818182,3,2
240-741,12,060,2,0.16666666666666666,3,1
575-017,12,002,2,0.16666666666666666,3,4
741-390,12,125,2,0.16666666666666666,3,2
231-002,13,817,2,0.15384615384615385,5,2
740-384,13,<END>,2,0.15384615384615385,4,4
806-002,15,502,2,0.13333333333333333,2,2
001-003,1,<END>,1,1,1,1
001-055,1,920,1,1,1,1
001-063,1,615,1,1,1,1
001-091,1,220,1,1,1,1
001-095,1,<END>,1,1,1,1
001-139,1,<END>,1,1,1,1
001-140,1,<END>,1,1,1,1
001-142,1,<END>,1,1,1,1
001-150,1,243,1,1,1,1
001-165,1,309,1,1,1,1
001-223,1,575,1,1,1,1
001-240,1,742,1,1,1,1
001-250,1,<END>,1,1,1,1
001-297,1,190,1,1,1,1
001-300,1,632,1,1,1,1
001-304,1,354,1,1,1,1
001-367,1,861,1,1,1,1
001-390,1,032,1,1,1,1
001-405,1,016,1,1,1,1
001-423,1,002,1,1,1,1
001-505,1,<END>,1,1,1,1
001-542,1,250,1,1,1,1
001-565,1,740,1,1,1,1
001-615,1,<END>,1,1,1,1
001-617,1,142,1,1,1,1
001-694,1,<END>,1,1,1,1
001-706,1,575,1,1,1,1
001-745,1,561,1,1,1,1
001-803,1,415,1,1,1,1
001-821,1,<END>,1,1,1,1
001-856,1,<END>,1,1,1,1
001-899,1,<END>,1,1,1,1
001-924,1,<END>,1,1,1,1
002-001,1,250,1,1,1,1
002-002,1,<END>,1,1,1,1
002-004,1,328,1,1,1,1
002-033,1,705,1,1,1,1
002-069,1,<END>,1,1,1,1
002-093,1,033,1,1,1,1
002-107,1,<END>,1,1,1,1
002-111,1,165,1,1,1,1
002-142,1,<END>,1,1,1,1
002-144,1,<END>,1,1,1,1
002-156,1,920,1,1,1,1
002-168,1,032,1,1,1,1
002-172,1,032,1,1,1,1
002-207,1,550,1,1,1,1
002-221,1,<END>,1,1,1,1
002-233,1,235,1,1,1,1
002-257,1,898,1,1,1,1
002-267,1,455,1,1,1,1
002-269,1,892,1,1,1,1
002-270,1,633,1,1,1,1
002-278,1,595,1,1,1,1
002-281,1,<END>,1,1,1,1
002-286,1,220,1,1,1,1
002-287,1,140,1,1,1,1
002-291,1,690,1,1,1,1
002-293,1,360,1,1,1,1
002-295,1,502,1,1,1,1
002-299,1,530,1,1,1,1
002-300,1,350,1,1,1,1
002-305,1,032,1,1,1,1
002-308,1,072,1,1,1,1
002-315,1,850,1,1,1,1
002-320,1,705,1,1,1,1
002-326,1,<END>,1,1,1,1
002-360,1,832,1,1,1,1
002-370,1,<END>,1,1,1,1
002-392,1,590,1,1,1,1
002-400,1,703,1,1,1,1
002-407,1,125,1,1,1,1
002-413,1,368,1,1,1,1
002-416,1,<END>,1,1,1,1
002-435,1,255,1,1,1,1
002-456,1,<END>,1,1,1,1
002-457,1,<END>,1,1,1,1
