"cisi","site","type","material","shape","sides","horizontal_mm","vertical_mm","thickness_mm","area","aspect","block_key","short_tokens","short_texts"
"H-923","Harappa","TAB:I","Steatite","rectangular","2","12.7","7.6","","96.52","1.6710526315789473","TAB:I|Harappa|rectangular|Steatite|2","003;031;520;861","1:+861-003+|2:+520-031+"
"H-924","Harappa","TAB:I","-","rectangular","2","14","8","","112","1.75","TAB:I|Harappa|rectangular|-|2","033;700","2:+700-033+"
"H-925","Harappa","TAB:I","Steatite","rectangular","2","14","7.6","","106.39999999999999","1.842105263157895","TAB:I|Harappa|rectangular|Steatite|2","033;700","2:+700-033+"
"H-926","Harappa","TAB:I","Steatite","rectangular","2","15.2","10.2","","155.04","1.4901960784313726","TAB:I|Harappa|rectangular|Steatite|2","032;700","2:+700-032+"
"H-927","Harappa","TAB:I","Steatite","rectangular","2","14.5","7.6","","110.19999999999999","1.9078947368421053","TAB:I|Harappa|rectangular|Steatite|2","033;368;700;900","1:+700-033+|2:+368-900+"
"H-928","Harappa","TAB:I","Steatite","rectangular","2","12.7","6.4","","81.28","1.9843749999999998","TAB:I|Harappa|rectangular|Steatite|2","033;368;700;900","1:+700-033+|2:+368-900+"
"H-929","Harappa","TAB:I","Steatite","rectangular","2","11.4","7.6","","86.64","1.5000000000000002","TAB:I|Harappa|rectangular|Steatite|2","033;368;700;900","1:+700-033+|2:+368-900+"
"H-930","Harappa","TAB:I","Steatite","rectangular","2","14","8.4","","117.60000000000001","1.6666666666666665","TAB:I|Harappa|rectangular|Steatite|2","032;700","2:+700-032+"
"H-931","Harappa","TAB:I","Steatite","rectangular","2","12.2","6.6","","80.52","1.8484848484848484","TAB:I|Harappa|rectangular|Steatite|2","033;700","2:+033-700+"
"H-933","Harappa","TAB:I","-","rectangular","2","14","8","","112","1.75","TAB:I|Harappa|rectangular|-|2","034;700","1:+034-700+"
"H-934","Harappa","TAB:I","Steatite","rectangular","2","12.7","8.9","","113.03","1.4269662921348314","TAB:I|Harappa|rectangular|Steatite|2","033;700","1:+700-033+"
"H-935","Harappa","TAB:I","Steatite","rectangular","2","10.2","6.4","","65.28","1.5937499999999998","TAB:I|Harappa|rectangular|Steatite|2","033;700","2:+700-033+"
"H-936","Harappa","TAB:I","Steatite","rectangular","2","7.6","11.9","","90.44","0.6386554621848739","TAB:I|Harappa|rectangular|Steatite|2","034;700","2:+700-034+"
"H-938","Harappa","TAB:I","Steatite","rectangular","2","14","7.6","","106.39999999999999","1.842105263157895","TAB:I|Harappa|rectangular|Steatite|2","034;700","2:+034-700+"
"H-939","Harappa","TAB:I","Steatite","rectangular","2","15.2","7.6","","115.52","2","TAB:I|Harappa|rectangular|Steatite|2","034;700","1:+700-034+"
"H-942","Harappa","TAB:I","Steatite","rectangular","2","12.7","7.1","","90.16999999999999","1.7887323943661972","TAB:I|Harappa|rectangular|Steatite|2","033;700","2:+033-700+"
"H-943","Harappa","TAB:I","Steatite","rectangular","2","16.5","8.9","","146.85","1.8539325842696628","TAB:I|Harappa|rectangular|Steatite|2","032;700","2:+700-032+"
"H-944","Harappa","TAB:I","Steatite","rectangular","2","16.5","8.9","","146.85","1.8539325842696628","TAB:I|Harappa|rectangular|Steatite|2","032;700","2:+700-032+"
"H-945","Harappa","TAB:I","Steatite","rectangular","2","14","6.4","","89.60000000000001","2.1875","TAB:I|Harappa|rectangular|Steatite|2","034;234;400;700","1:+400-234+|2:+034-700+"
"H-946","Harappa","TAB:I","Steatite","rectangular","2","13.2","6.4","","84.48","2.0624999999999996","TAB:I|Harappa|rectangular|Steatite|2","034;234;400;700","1:+700-034+|2:+400-234+"
"H-947","Harappa","TAB:I","Steatite","rectangular","2","10.2","5.8","","59.16","1.7586206896551724","TAB:I|Harappa|rectangular|Steatite|2","034;236;400;700","1:+400-236+|2:+700-034+"
"H-948","Harappa","TAB:I","Steatite","rectangular","2","15.2","7.6","","115.52","2","TAB:I|Harappa|rectangular|Steatite|2","033;700","2:+700-033+"
"H-949","Harappa","TAB:I","Steatite","rectangular","2","17.8","7.6","","135.28","2.342105263157895","TAB:I|Harappa|rectangular|Steatite|2","033;151;229;700","1:+700-033+|2:+151-229+"
"H-950","Harappa","TAB:I","Steatite","rectangular","2","16","8.9","","142.4","1.797752808988764","TAB:I|Harappa|rectangular|Steatite|2","033;700","2:+033-700+"
"H-951","Harappa","TAB:I","Steatite","rectangular","2","14","7.6","","106.39999999999999","1.842105263157895","TAB:I|Harappa|rectangular|Steatite|2","033;700","2:+700-033+"
"H-952","Harappa","TAB:I","Steatite","rectangular","2","11.4","7.1","","80.94","1.6056338028169015","TAB:I|Harappa|rectangular|Steatite|2","034;564;700;740","1:+740-564+|2:+700-034+"
"H-953","Harappa","TAB:I","-","rectangular","2","11.5","7","","80.5","1.6428571428571428","TAB:I|Harappa|rectangular|-|2","034;700","1:+700-034+"
"H-959","Harappa","TAB:I","Steatite","oval","2","15.2","7.6","","115.52","2","TAB:I|Harappa|oval|Steatite|2","033;700","2:+700-033+"
"H-960","Harappa","TAB:I","Steatite","oval","2","10.2","7.6","","77.52","1.3421052631578947","TAB:I|Harappa|oval|Steatite|2","034;700","1:+700-034+"
"H-961","Harappa","TAB:I","Steatite","rectangular-rounded","2","16","7.6","","121.6","2.1052631578947367","TAB:I|Harappa|rectangular-rounded|Steatite|2","033;700","2:+700-033+"
"H-962","Harappa","TAB:I","Steatite","oval","2","7.6","7.6","","57.76","1","TAB:I|Harappa|oval|Steatite|2","032;700","2:+700-032+"
"H-963","Harappa","TAB:I","Steatite","circular","2","7.6","6.4","","48.64","1.1874999999999998","TAB:I|Harappa|circular|Steatite|2","032;700","2:+700-032+"
"H-965","Harappa","TAB:I","Steatite","rectangular-round","2","17.8","11.4","","202.92000000000002","1.5614035087719298","TAB:I|Harappa|rectangular-round|Steatite|2","032;700","2:+700-032+"
"H-966","Harappa","TAB:I","-","rectangular-rounded","2","","10.5","","","","TAB:I|Harappa|rectangular-rounded|-|2","032;700","2:+700-032+"
"H-968","Harappa","TAB:I","-","rectangular-round","2","18","8.5","","153","2.1176470588235294","TAB:I|Harappa|rectangular-round|-|2","032;700","1:+700-032+"
"H-969","Harappa","TAB:B","-","elliptical","2","16.5","7","","115.5","2.357142857142857","TAB:B|Harappa|elliptical|-|2","032;700","1:+700-032+"
"H-975","Harappa","TAB:I","Steatite","prism","2","12.7","5.8","","73.66","2.189655172413793","TAB:I|Harappa|prism|Steatite|2","032;700","2:+700-032+"
"H-976","Harappa","TAB:I","Steatite","prism","2","10.2","7.6","","77.52","1.3421052631578947","TAB:I|Harappa|prism|Steatite|2","033;137;400;700","1:+400-137+|2:+700-033+"
"H-978","Harappa","TAB:I","Steatite","prism","2","15.2","6.4","","97.28","2.3749999999999996","TAB:I|Harappa|prism|Steatite|2","033;700","2:+700-033+"
"H-979","Harappa","TAB:I","-","prism","2","16.5","7","","115.5","2.357142857142857","TAB:I|Harappa|prism|-|2","033;700","1:+700-033+"
"H-982","Harappa","SEAL:R","Steatite","prism","2","14","6.4","","89.60000000000001","2.1875","SEAL:R|Harappa|prism|Steatite|2","034;700","2:+700-034+"
"H-983","Harappa","TAB:I","Steatite","prism","2","15.2","6.4","","97.28","2.3749999999999996","TAB:I|Harappa|prism|Steatite|2","034;700","2:+700-034+"
"H-985","Harappa","TAB:I","-","prism","2","15.2","6.4","","97.28","2.3749999999999996","TAB:I|Harappa|prism|-|2","034;700","1:+700-034+"
"H-986","Harappa","TAB:I","Steatite","prism","3","16.5","6.4","","105.60000000000001","2.578125","TAB:I|Harappa|prism|Steatite|3","033;700","2:+700-033+"
"H-987","Harappa","TAB:I","Steatite","prism","3","16.5","6.4","","105.60000000000001","2.578125","TAB:I|Harappa|prism|Steatite|3","033;700","2:+700-033+"
"K-68","Kalibangan","TAB:B","Faience","cuboid","2","13.5","8","4","108","1.6875","TAB:B|Kalibangan|cuboid|Faience|2","032;700","2:+700-032+"
"M-2041","Mohenjo-daro","TAB:I","Steatite","rectangular","2","20.3","10.2","5.1","207.06","1.9901960784313728","TAB:I|Mohenjo-daro|rectangular|Steatite|2","323;690","1:+323-690+"
"M-1928","Mohenjo-daro","SEAL:S","Steatite","square","2","33.5","33.5","9.9","1122.25","1","SEAL:S|Mohenjo-daro|square|Steatite|2","031;850","2:+850-031+"
"M-2121","Mohenjo-daro","IMPL","Copper","-","2","109.5","283.2","11.9","31010.399999999998","0.3866525423728814","IMPL|Mohenjo-daro|-|Copper|2","006;911","2:+911-006+"
"M-2020","Mohenjo-daro","TAB:B","Clay","-","2","41.4","14","6.4","579.6","2.957142857142857","TAB:B|Mohenjo-daro|-|Clay|2","167;705","1:+167-705+|2:+167-705+"
"M-2040","Mohenjo-daro","TAB:I","Steatite","rectangular","2","20.3","10.2","4.6","207.06","1.9901960784313728","TAB:I|Mohenjo-daro|rectangular|Steatite|2","322;690","1:+690-322+"
"M-318","Mohenjo-daro","SEAL:S","Steatite","square","2","37.3","37.3","","1391.2899999999997","1","SEAL:S|Mohenjo-daro|square|Steatite|2","031;575","1:+031-575+"
"M-324","Mohenjo-daro","SEAL:S","Steatite","square","2","24.1","24.1","","580.8100000000001","1","SEAL:S|Mohenjo-daro|square|Steatite|2","215;740","1:+740-215+|2:+740-215+"
"M-326","Mohenjo-daro","SEAL:S","Steatite","square","5","26.7","26.7","","712.89","1","SEAL:S|Mohenjo-daro|square|Steatite|5","461;840","5:+461-840+"
"M-330","Mohenjo-daro","SEAL:S","Steatite","square","2","17.8","17.8","","316.84000000000003","1","SEAL:S|Mohenjo-daro|square|Steatite|2","156;176","2:+156-176+"
"M-449","Mohenjo-daro","TAB:B","Clay","rectangular","2","39.6","11.4","5.3","451.44000000000005","3.473684210526316","TAB:B|Mohenjo-daro|rectangular|Clay|2","167;706","1:+167-706+|2:+167-706+"
"M-481","Mohenjo-daro","TAB:B","Clay","cylindrical","2","30.5","","7.9","","","TAB:B|Mohenjo-daro|cylindrical|Clay|2","718;815","2:+718-815+"
"M-486","Mohenjo-daro","TAB:B","Clay","prism","3","33","12.7","","419.09999999999997","2.598425196850394","TAB:B|Mohenjo-daro|prism|Clay|3","235;520","1:+520-235+"
"M-487","Mohenjo-daro","TAB:B","Clay","prism","3","29.5","","9.4","","","TAB:B|Mohenjo-daro|prism|Clay|3","235;520","1:+520-235+"
"M-501","Mohenjo-daro","SEAL:R","Steatite","rectangular","2","17.8","11.4","","202.92000000000002","1.5614035087719298","SEAL:R|Mohenjo-daro|rectangular|Steatite|2","323;690","1:+690-323+"
"M-513","Mohenjo-daro","TAB:C","Copper","square","2","22","23","","506","0.9565217391304348","TAB:C|Mohenjo-daro|square|Copper|2","005;706","1:+706-005+"
"M-514","Mohenjo-daro","TAB:C","Copper","square","2","22","23","","506","0.9565217391304348","TAB:C|Mohenjo-daro|square|Copper|2","005;706","1:+706-005+"
"M-515","Mohenjo-daro","TAB:C","Copper","square","2","23","23","","529","1","TAB:C|Mohenjo-daro|square|Copper|2","005;706","1:+706-005+"
"M-1200","Mohenjo-daro","SEAL:S","-","square","2","26","","","","","SEAL:S|Mohenjo-daro|square|-|2","017;390","2:+390-017+"
"M-1235","Mohenjo-daro","MISC","Steatite","-","2","40.6","","","","","MISC|Mohenjo-daro|-|Steatite|2","031;156","1:+156-031+|2:+156-031+"
"M-1397","Mohenjo-daro","TAB:B","Clay","rectangular","2","","","","","","TAB:B|Mohenjo-daro|rectangular|Clay|2","167;705","1:+167-705+"
"M-1399","Mohenjo-daro","TAB:B","Clay","-","2","43.2","11.9","15.2","514.08","3.630252100840336","TAB:B|Mohenjo-daro|-|Clay|2","167;704","1:+167-704+|2:+167-704+"
"M-1418","Mohenjo-daro","TAB:B","Faience","cuboid","2","45.7","14","7.6","639.8000000000001","3.2642857142857147","TAB:B|Mohenjo-daro|cuboid|Faience|2","103;176","1:+176-103+"
"M-1430","Mohenjo-daro","TAB:B","Clay","twisted prism","3","42.7","","11.4","","","TAB:B|Mohenjo-daro|twisted prism|Clay|3","384;740","1:+740-384+|2:+740-384+|3:+740-384+"
"M-1444","Mohenjo-daro","TAB:I","Steatite","-","2","19.1","10.2","3.8","194.82","1.8725490196078434","TAB:I|Mohenjo-daro|-|Steatite|2","323;690","1:+690-323+"
"M-1445","Mohenjo-daro","TAB:I","Steatite","-","2","19.1","9.1","2.5","173.81","2.098901098901099","TAB:I|Mohenjo-daro|-|Steatite|2","323;690","1:+690-323+"
"M-1465","Mohenjo-daro","TAB:C","Copper","square","2","22.9","22.9","2.8","524.41","1","TAB:C|Mohenjo-daro|square|Copper|2","740;773","2:+740-773+"
"M-1548","Mohenjo-daro","TAB:C","Copper","rectangular","2","30.5","13","","396.5","2.3461538461538463","TAB:C|Mohenjo-daro|rectangular|Copper|2","479;749","2:+749-479+"
"M-1626","Mohenjo-daro","POT:T:g","Clay","-","2","","","","","","POT:T:g|Mohenjo-daro|-|Clay|2","033;151","1:+151-033+|2:+151-033+"
"M-1658","Mohenjo-daro","MISC","-","-","2","24","11","","264","2.1818181818181817","MISC|Mohenjo-daro|-|-|2","165;900","1:+165-900+"
"?-6","Unknown","TAB:B","-","rectangular","2","12.7","7","","88.89999999999999","1.8142857142857143","TAB:B|Unknown|rectangular|-|2","032;700","2:+700-032+"
"H-2137","Harappa","TAB:I","Steatite","rectangular","2","13","8","2.5","104","1.625","TAB:I|Harappa|rectangular|Steatite|2","034;700","1:+700-034+"
"H-1126","Harappa","TAB:B","-","plano-convex","2","15","9","","135","1.6666666666666667","TAB:B|Harappa|plano-convex|-|2","740;850","1:+740-850+|2:+740-850+"
"H-1100","Harappa","TAB:B","-","rectangular","2","26","16","","416","1.625","TAB:B|Harappa|rectangular|-|2","032;700","2:+700-032+"
"H-1120","Harappa","TAB:B","-","rectangular","2","16","8","","128","2","TAB:B|Harappa|rectangular|-|2","034;700","2:+700-034+"
"H-1124","Harappa","TAB:B","-","rectangular","2","14","9","","126","1.5555555555555556","TAB:B|Harappa|rectangular|-|2","033;700","2:+700-033+"
"H-1134","Harappa","TAB:B","-","conical","2","16","7","","112","2.2857142857142856","TAB:B|Harappa|conical|-|2","032;700","2:+700-032+"
"H-1153","Harappa","TAB:B","Ceramic","prism","2","17.8","6.4","","113.92000000000002","2.78125","TAB:B|Harappa|prism|Ceramic|2","032;700","2:+700-032+"
"M-1930","Mohenjo-daro","SEAL:S","-","square","2","12","12","","144","1","SEAL:S|Mohenjo-daro|square|-|2","400;455;804;922","1:+455-922+|2:+400-804+"
"M-2021","Mohenjo-daro","TAB:B","-","rectangular-round","2","37","13","","481","2.8461538461538463","TAB:B|Mohenjo-daro|rectangular-round|-|2","740;927","2:+740-927+"
"H-1178","Harappa","TAB:I","-","rectangular","2","16","8.5","","136","1.8823529411764706","TAB:I|Harappa|rectangular|-|2","125;700","2:+700-125+"
"H-1198","Harappa","TAB:I","-","rectangular","2","15","9.5","","142.5","1.5789473684210527","TAB:I|Harappa|rectangular|-|2","033;700","2:+700-033+"
"H-1270","Harappa","TAB:I","Steatite","rectangular","2","12.7","6.9","","87.63","1.8405797101449273","TAB:I|Harappa|rectangular|Steatite|2","033;700","2:+700-033+"
"H-1281","Harappa","TAB:I","Steatite","rectangular","2","13.5","8.9","","120.15","1.5168539325842696","TAB:I|Harappa|rectangular|Steatite|2","032;700","1:+700-032+"
"H-1284","Harappa","TAB:I","-","rectangular","2","13","7","","91","1.8571428571428572","TAB:I|Harappa|rectangular|-|2","034;700","2:+700-034+"
"H-1320","Harappa","TAB:I","-","notched oval","2","17","10","","170","1.7","TAB:I|Harappa|notched oval|-|2","032;400;678;700","1:+400-678+|2:+700-032+"
"H-1302","Harappa","TAB:I","Steatite","oval","2","14","6.4","","89.60000000000001","2.1875","TAB:I|Harappa|oval|Steatite|2","033;700","2:+700-033+"
"H-1295","Harappa","TAB:I","-","rectangular","2","14","8","","112","1.75","TAB:I|Harappa|rectangular|-|2","033;700","2:+700-033+"
"H-1303","Harappa","TAB:I","Steatite","oval","2","13.2","7.6","","100.32","1.736842105263158","TAB:I|Harappa|oval|Steatite|2","033;700","2:+700-033+"
"H-1313","Harappa","TAB:I","Steatite","elliptical","2","15","6","1.5","90","2.5","TAB:I|Harappa|elliptical|Steatite|2","032;700","2:+700-032+"
"H-1344","Harappa","TAB:I","-","prism","2","14","8","","112","1.75","TAB:I|Harappa|prism|-|2","033;700","2:+700-033+"
"H-1345","Harappa","TAB:I","Steatite","prism","2","14.5","6.4","","92.80000000000001","2.265625","TAB:I|Harappa|prism|Steatite|2","033;700","2:+700-033+"
"H-1346","Harappa","TAB:I","Steatite","prism","2","10.2","6.4","","65.28","1.5937499999999998","TAB:I|Harappa|prism|Steatite|2","033;700","2:+700-033+"
"H-1347","Harappa","TAB:I","Steatite","prism","2","","7.6","","","","TAB:I|Harappa|prism|Steatite|2","033;700","2:+700-033+"
"H-1348","Harappa","TAB:I","Steatite","prism","2","","6.4","","","","TAB:I|Harappa|prism|Steatite|2","033;700","2:+700-033+"
"H-1304","Harappa","TAB:I","-","oval","2","14.5","","","","","TAB:I|Harappa|oval|-|2","033;700","2:+700-033+"
