"start_pair","count","third_values","sites","types","examples"
"550-740","2","142;220","Harappa;Mohenjo-daro","SEAL:S","1546.1;3318.1"
"585-831","2","091","Mohenjo-daro","BNGL;SEAL:S","2173.1;3212.1"
"590-705","2","435;575","Lothal;Mohenjo-daro","SEAL:S","1990.1;3389.1"
"592-031","2","","Harappa;Mohenjo-daro","SEAL:S","1126.1;2302.1"
"592-741","2","060","Mohenjo-daro","SEAL:S","2343.1;3266.1"
"595-000","2","705","Harappa;Mohenjo-daro","SEAL:R;SEAL:S","1088.1;3588.1"
"595-420","2","706;717","Harappa;Mohenjo-daro","SEAL:S","1295.1;3553.2"
"595-705","2","000","Mohenjo-daro","TAG:W","2920.1;2920.2"
"617-831","2","013","Mohenjo-daro","SEAL:S","2573.1;2839.1"
"621-090","2","740","Mohenjo-daro","SEAL:S","2815.1;3538.1"
"690-590","2","032","Harappa","TAB:B","902.2;904.2"
"697-510","2","","Harappa","POT:T:s","194.1;1596.1"
"700-004","2","","Harappa","TAB:B","510.1;627.1"
"700-090","2","","Dholavira;Harappa","TAB:I;TAG","1366.2;4341.1"
"705-000","2","000","Dholavira","SEAL:S;TAG","4249.1;5584.1"
"706-590","2","892","Harappa","SEAL:R;TAB:I","872.2;1589.1"
"740-016","2","002","Chanhu-daro;Lothal","SEAL:S","91.1;2002.1"
"740-042","2","002;741","Mohenjo-daro","SEAL:S","2249.1;2261.1"
"740-067","2","741;900","Chanhu-daro;Dholavira","SEAL:R;SEAL:S","68.1;4277.1"
"740-090","2","413;703","Lothal;Nausharo","POT:T:g;TAB:B","2133.2;5366.1"
"740-140","2","002;717","Chanhu-daro;Mohenjo-daro","SEAL:S","93.1;3485.1"
"740-177","2","231","Chanhu-daro;Harappa","POT:T:p;TAB:B","1739.1;5271.1"
"740-205","2","032","Mohenjo-daro;Unknown","SEAL:S","2670.1;3335.1"
"740-231","2","003;220","Chanhu-daro;Harappa","SEAL:R;SEAL:S","98.1;1332.1"
"740-235","2","220","Allahdino;Dholavira","SEAL:S;TAG","5.1;4224.1"
"740-354","2","000;002","Kalibangan;Mohenjo-daro","POT:T:g;SEAL:R","1961.1;2860.1"
"740-441","2","002","Harappa;Kalibangan","SEAL:S","314.1;1897.1"
"740-443","2","388","Harappa","SEAL:R;SEAL:S","1178.1;3918.1"
"740-483","2","233;803","Mohenjo-daro","SEAL:R","3573.1;3665.1"
"740-643","2","240","Harappa;Mohenjo-daro","SEAL:S","1110.1;2434.1"
"740-702","2","061","Harappa;Unknown","TAB:B","411.2;3895.1"
"740-776","2","503","Harappa;Mohenjo-daro","SEAL:S;TAB:I","547.2;2542.1"
"740-783","2","004","Harappa","TAB:I","1311.1;1312.1"
"740-797","2","688","Banawali;Harappa","SEAL:S;TAB:I","29.1;830.1"
"740-806","2","240","Harappa;Lothal","SEAL:L;TAB:B","571.1;2037.1"
"740-850","2","","Harappa","TAB:B","3949.1;3949.2"
"740-879","2","220;233","Mohenjo-daro","SEAL:S","2636.1;2778.1"
"749-479","2","","Mohenjo-daro","TAB:C","2465.2;3788.2"
"790-032","2","033","Harappa;Mohenjo-daro","POT:T:s;SEAL:R","1579.1;3673.1"
"790-400","2","296;798","Mohenjo-daro","SEAL:S","2405.1;3171.1"
"798-806","2","002;820","Harappa;Mohenjo-daro","POT:T:g;SEAL:R","656.1;3624.1"
"803-000","2","861","Dholavira;Lothal","SEAL:S;TAG","1995.1;4355.1"
"806-002","2","808;824","Dholavira;Mohenjo-daro","SEAL:R","3602.1;4270.1"
"820-000","2","000;032","Mohenjo-daro","ROD;SEAL:S","3495.1;4034.1"
"820-033","2","000","Bala-kot;Harappa","POT:T:g;POT:T:p","1866.1;5542.1"
"820-390","2","590","Dholavira;Mohenjo-daro","SEAL:S","3390.1;4195.1"
"832-390","2","032;803","Mohenjo-daro","SEAL:S","2515.1;2604.1"
"850-140","2","803","Mohenjo-daro","TAB:B","2972.1;2973.1"
"861-111","2","391;606","Nausharo","SEAL:S","5355.1;5358.1"
"869-060","2","001;820","Harappa","TAB:I","681.2;897.2"
"892-413","2","","Harappa","TAB:I","457.2;492.1"
"892-700","2","","Chanhu-daro;Harappa","SEAL:S","60.1;1149.1"
"892-831","2","","Harappa;Mohenjo-daro","SEAL:S;TAB:I","1790.2;2731.1"
"904-032","2","000;904","Harappa;Mohenjo-daro","TAB:C;TAB:I","798.2;3798.1"
"000-005","1","002","Mohenjo-daro","SEAL:S","2397.2"
"000-013","1","","Harappa","TAB:I","5445.1"
"000-016","1","002","Mohenjo-daro","MISC","3844.2"
"000-017","1","741","Mohenjo-daro","SEAL:R","3659.1"
"000-044","1","","Kalibangan","SEAL:S","1903.1"
"000-049","1","002","Kanmer","TAG","5420.1"
"000-064","1","845","Mohenjo-daro","SEAL:R","3598.1"
"000-066","1","064","Harappa","TAB:I","5476.1"
"000-091","1","","Dholavira","SEAL:R","4257.1"
"000-095","1","","Sibri","SEAL","5386.1"
"000-096","1","","Harappa","POT:T:g","5411.1"
"000-105","1","","Harappa","TAB:I","4524.1"
"000-136","1","031","Mohenjo-daro","SEAL:S","3520.1"
"000-158","1","806","Harappa","TAB:B","1627.1"
"000-165","1","832","Harappa","MISC","4152.1"
"000-171","1","067","Harappa","TAB:I","514.1"
"000-175","1","000","Kalibangan","POT:T:g","1956.1"
"000-192","1","000","Kalibangan","POT:T:g","5315.1"
"000-204","1","140","Mohenjo-daro","SEAL:R","3590.1"
"000-227","1","033","Kalibangan","POT:T:g","1949.1"
"000-229","1","705","Dholavira","TAG","4312.1"
"000-242","1","","Mohenjo-daro","SEAL:S","3218.1"
"000-257","1","","Harappa","SEAL:S","1421.1"
"000-291","1","740","Harappa","POT:T:g","4110.1"
"000-298","1","","Harappa","MISC","3946.1"
"000-317","1","000","Dholavira","TAG","4360.1"
"000-335","1","000","Harappa","POT:T:g","522.1"
"000-350","1","125","Dholavira","SEAL:S","4218.1"
"000-353","1","","Harappa","POT:T:g","3942.1"
"000-362","1","","Mohenjo-daro","TAB:B","2974.1"
"000-368","1","692","Harappa","SEAL:S","1292.1"
"000-374","1","000","Ornach area","SEAL:S","5405.1"
"000-382","1","","Mohenjo-daro","TAB:B","3691.3"
"000-435","1","255","Harappa","SEAL:S","1529.1"
"000-456","1","","Harappa","SEAL:R","1559.1"
"000-484","1","000","Harappa","TAB:I","833.1"
"000-490","1","","Harappa","TAB:B","636.1"
"000-503","1","","Harappa","SEAL:S","238.1"
"000-515","1","000","Kalibangan","POT:T:g","5317.1"
"000-520","1","220","Dholavira","TAB:I","4170.1"
"000-530","1","","Harappa","POT:T:p","5548.1"
"000-532","1","297","Mohenjo-daro","SEAL:S","2508.1"
"000-540","1","000","Harappa","SEAL:R","1200.1"
"000-572","1","090","Dholavira","SEAL:S","4253.1"
"000-591","1","","Harappa","TAB:B","477.2"
"000-595","1","632","Harappa","TAB:B","1698.1"
"000-600","1","000","Mohenjo-daro","TAB:B","5391.1"
"000-603","1","091","Unknown","SEAL:C","3887.1"
"000-604","1","","Harappa","POT:T:s","3910.1"
"000-611","1","820","Lothal","MISC","2065.1"
"000-632","1","","Nausharo","TAG","5363.1"
"000-642","1","240","Mohenjo-daro","SEAL:S","3336.1"
"000-643","1","240","Kish","SEAL:S","1970.1"
"000-685","1","035","Kalibangan","POT:T:g","5318.1"
"000-698","1","","Harappa","POT:T:g","966.1"
"000-727","1","033","Mohenjo-daro","SEAL:R","3655.1"
"000-742","1","","Kalibangan","POT:T:g","5337.1"
"000-747","1","590","Mohenjo-daro","SEAL:R","3641.1"
"000-792","1","","Harappa","TAG:L","940.2"
"000-797","1","","Mohenjo-daro","TAB:C","3062.1"
"000-824","1","","Harappa","TAB:I","906.1"
"000-828","1","016","Kalibangan","SEAL:S","1915.1"
"000-833","1","","Harappa","TAB:B","1609.3"
"000-845","1","616","Lothal","SEAL:R","2040.1"
"000-877","1","032","Mohenjo-daro","SEAL:R","3607.1"
"000-880","1","002","Harappa","TAG:L","536.1"
"000-920","1","705","Mohenjo-daro","SEAL:S","2257.1"
"000-923","1","000","Mohenjo-daro","TAB:C","3005.1"
"000-931","1","","Harappa","SEAL:S","1417.1"
"001-000","1","000","Dholavira","SEAL:R","4197.1"
"001-031","1","","Nausharo","POT:T:g","5371.1"
"001-111","1","000","Dholavira","SEAL:S","4212.1"
"001-142","1","","Harappa","TAB:B","1266.1"
"001-226","1","032","Mohenjo-daro","SEAL:R","2863.1"
"001-304","1","354","Harappa","SEAL:R","1557.1"
"001-350","1","002","Kalibangan","TAG:L","1944.3"
"001-595","1","142","Mohenjo-daro","TAB:C","3739.1"
"001-820","1","595","Mohenjo-daro","SEAL:S","3474.1"
"001-899","1","","Mohenjo-daro","SEAL:S","2849.2"
"001-900","1","839","Lothal","POT:T:g","5509.1"
"002-002","1","","Harappa","POT:T:g","960.1"
"002-003","1","","Harappa","POT:T:g","1047.1"
"002-004","1","328","Ur","SEAL:C","3898.1"
"002-031","1","820","Kalibangan","POT:T:g","5343.1"
"002-095","1","000","Tepe Yahya","POT:T:s","3886.1"
"002-220","1","455","Harappa","TAB:B","388.2"
"002-407","1","125","Mohenjo-daro","TAB:C","4030.1"
"002-416","1","","Harappa","SEAL:S","1468.1"
"002-610","1","125","Harappa","SEAL:S","1132.1"
"002-617","1","","Lothal","TAG","2078.1"
"002-700","1","","Kot-Diji","POT:T:g","1979.1"
"002-741","1","455","Mohenjo-daro","SEAL:S","3184.1"
"002-790","1","290","Mohenjo-daro","BNGL","3825.1"
"002-818","1","","Mohenjo-daro","SEAL:S","2793.1"
"002-920","1","","Shikarpur","POT:T:p","5550.1"
"003-001","1","520","Mohenjo-daro","SEAL:R","2854.1"
"003-002","1","861","Lothal","SEAL","2028.1"
"003-031","1","","Harappa","POT:T:g","5472.1"
"003-408","1","","Harappa","POT:T:s","625.1"
"003-741","1","630","Harappa","SEAL:S","1451.1"
"003-861","1","031","Harappa","TAB:I","1327.1"
"003-904","1","","Harappa","MISC","4144.1"
"004-004","1","","Mohenjo-daro","IMPL","5534.1"
"004-408","1","","Dholavira","TAB:I","4242.1"
"004-492","1","015","Mohenjo-daro","SEAL:S","2849.1"
"004-740","1","000","Mohenjo-daro","TAB:B","5392.1"
"005-408","1","","Dholavira","SEAL:R","4190.1"
"007-004","1","","Mohenjo-daro","IMPL","2371.1"
"007-034","1","","Kalibangan","POT:T:g","5301.1"
"013-840","1","032","Harappa","TAB:I","1361.1"
"015-013","1","031","Kalibangan","SEAL:R","1920.1"
"016-002","1","595","Mohenjo-daro","SEAL:R","3646.1"
"016-220","1","382","Harappa","POT:T:s","715.1"
"018-000","1","","Mohenjo-daro","ROD","4038.1"
"019-798","1","","Harappa","TAB:I","243.1"
"020-031","1","","Harappa","TAB:I","911.1"
"031-002","1","861","Harappa","SEAL:R","1566.1"
"031-005","1","","Harappa","POT:T:g","1867.1"
"031-031","1","550","Mohenjo-daro","SEAL:S","3350.1"
"031-032","1","171","Mohenjo-daro","SEAL:S","2329.1"
"031-034","1","060","Harappa","POT:T:g","200.1"
"031-055","1","000","Dholavira","SEAL","4169.1"
"031-093","1","001","Saar","SEAL:C","5229.1"
"031-151","1","","Dholavira","SEAL:S","4223.1"
"031-220","1","000","Kot-Diji","POT:T:g","1972.1"
"031-277","1","705","Mohenjo-daro","SEAL:S","2693.1"
"031-311","1","745","Mohenjo-daro","SEAL:S","2538.1"
"031-463","1","000","Harappa","POT:T:g","165.1"
"031-504","1","632","Kalibangan","SEAL:S","1877.1"
"031-575","1","","Mohenjo-daro","SEAL:S","2836.1"
"031-645","1","645","Mohenjo-daro","ROD","3842.1"
"031-697","1","","Harappa","POT:T:g","969.1"
"031-817","1","","Kalibangan","POT:T:g","5341.1"
"031-820","1","104","Dholavira","SEAL:R","5571.1"
"031-840","1","140","Chanhu-daro","SEAL:S","89.1"
"031-850","1","140","Mohenjo-daro","SEAL:S","3150.1"
"031-892","1","","Mohenjo-daro","BNGL","5524.1"
"031-893","1","","Harappa","POT:T:g","768.1"
"032-002","1","900","Mohenjo-daro","SEAL:R","3657.1"
"032-029","1","","Mohenjo-daro","SEAL:S","2267.1"
"032-257","1","840","Harappa","TAB:B","1663.1"
"032-480","1","002","Nausharo","POT:T:g","5379.1"
"032-850","1","031","Harappa","TAB:B","594.1"
"032-905","1","","Mohenjo-daro","SEAL:R","3584.1"
"032-920","1","491","Harappa","TAB:B","414.2"
"033-001","1","032","Karzakan","SEAL:C","5228.1"
"033-003","1","","Kot-Diji","POT:T:g","1978.1"
"033-034","1","","Harappa","MISC","1059.1"
"033-095","1","","Kot-Diji","POT:T:g","1974.1"
"033-155","1","","Mohenjo-daro","POT:T:g","5395.1"
"033-220","1","520","Kalibangan","POT:T:g","1950.1"
"033-413","1","893","Harappa","TAG:L","940.1"
"033-605","1","","Harappa","TAB:B","868.2"
"033-706","1","233","Mohenjo-daro","SEAL:S","3073.1"
"033-720","1","","Harappa","TAB:I","218.2"
"033-820","1","","Harappa","TAB:B","447.1"
"033-832","1","236","Mohenjo-daro","SEAL:S","2666.1"
"033-999","1","400","Nausharo","POT:T:g","5367.1"
"034-002","1","817","Harappa","POT:T:s","1030.1"
"034-031","1","","Harappa","POT:T:g","818.1"
"034-032","1","032","Harappa","POT:T:g","3934.1"
"034-033","1","033","Kalibangan","POT:T:g","5308.1"
"034-204","1","","Mohenjo-daro","SEAL:S","3121.1"
"034-698","1","","Harappa","POT:T:g","994.1"
"034-705","1","","Harappa","POsT:T:g","609.1"
"035-000","1","","Mohenjo-daro","SEAL:S","4927.1"
"035-032","1","001","Harappa","POT:T:g","1046.1"
"035-033","1","005","Mohenjo-daro","POT:T:g","3804.1"
"035-705","1","","Harappa","MISC","171.1"
"036-029","1","","Harappa","POT:T:g","4109.1"
"036-269","1","140","Kalibangan","SEAL:S","1879.1"
"041-705","1","002","Mohenjo-daro","IMPL","4047.1"
"045-740","1","806","Mohenjo-daro","SEAL:R","2905.1"
"046-031","1","033","Mohenjo-daro","SEAL:S","3252.1"
"048-002","1","817","Lothal","SEAL:R","2038.1"
"055-000","1","000","Lothal","TAG","2118.1"
"055-099","1","121","Janabiyah","SEAL:C","5232.1"
"055-906","1","","Kalibangan","SEAL:S","1904.1"
"062-000","1","","Harappa","TAB:I","837.1"
"063-700","1","176","Harappa","POT:T:g","541.1"
"063-740","1","918","Harappa","SEAL:R","1191.1"
"064-002","1","","Mohenjo-daro","BNGL","2170.1"
"064-003","1","","Kalibangan","MISC","5501.1"
"064-004","1","013","Dholavira","SEAL:R","4161.1"
"064-031","1","400","Mohenjo-daro","SEAL:R","2278.1"
"064-630","1","","Mohenjo-daro","BNGL","2169.1"
"064-840","1","140","Mohenjo-daro","SEAL:S","2230.1"
"065-599","1","798","Harappa","SEAL","1152.1"
"065-826","1","","Harappa","TAB:B","1658.1"
"066-033","1","","Harappa","POT:T:s","4676.1"
"070-000","1","000","Kalibangan","POT:T:g","1963.1"
"072-170","1","740","Allahdino","SEAL:S","11.1"
"074-220","1","415","Harappa","TAB:I","827.2"
"080-000","1","","Harappa","TAB:I","283.2"
"080-388","1","220","Harappa","POT:T:g","185.1"
"090-001","1","350","Failaka","SEAL:C","148.1"
"090-017","1","","Harappa","SEAL:R","1201.2"
"090-055","1","000","Unknown","SEAL:CY","3888.1"
"090-095","1","741","Dholavira","SEAL:S","4239.1"
"090-100","1","415","Harappa","TAB:I","420.1"
"090-160","1","","Dholavira","SEAL:S","4172.1"
"090-255","1","740","Lothal","SEAL:S","2007.1"
"090-326","1","700","Harappa","SEAL:R","932.1"
"090-368","1","000","Mohenjo-daro","SEAL:S","3108.1"
"090-520","1","032","Mohenjo-daro","TAB:C","3062.2"
"090-850","1","032","Mohenjo-daro","SEAL:S","3166.1"
"093-340","1","924","Ur","SEAL:C","3897.1"
"093-808","1","","Dholavira","SEAL:S","129.1"
"094-033","1","","Dholavira","TAG","4339.1"
"095-031","1","740","Mohenjo-daro","TAB:B","4016.1"
"098-060","1","702","Mohenjo-daro","SEAL","3429.1"
"100-000","1","","Harappa","TAB:I","391.1"
"100-013","1","861","Lothal","TAG:P","2136.1"
"100-176","1","175","Harappa","TAB:B","1000.1"
"100-904","1","717","Mohenjo-daro","SEAL:R","2480.1"
"103-740","1","803","Mohenjo-daro","TAB:B","2965.1"
"104-000","1","000","Lothal","TAG","2128.1"
"104-002","1","820","Harappa","TAB:B","1269.1"
"104-033","1","615","Mohenjo-daro","POT:T:g","3813.1"
"104-892","1","390","Lothal","SEAL:S","2010.1"
"105-031","1","060","Mohenjo-daro","SEAL:S","3284.1"
"106-741","1","500","Mohenjo-daro","SEAL:S","3216.1"
"111-000","1","","Lothal","SEAL:R","2048.1"
"111-002","1","001","Nausharo","SEAL:S","4894.1"
"111-033","1","","Harappa","POT:T:g","542.1"
"111-142","1","000","Nausharo","TAG","5362.1"
"111-833","1","528","Harappa","SEAL:S","1490.1"
"116-032","1","","Harappa","TAB:B","1272.2"
"125-002","1","861","Chanhu-daro","SEAL:S","76.1"
"125-070","1","","Lothal","TAG","2115.3"
"125-435","1","255","Mohenjo-daro","SEAL:S","2231.1"
"127-381","1","292","Mohenjo-daro","SEAL:R","3621.1"
"129-817","1","310","Chanhu-daro","SEAL","110.1"
"134-590","1","920","Rodji","POT:T:g","3870.1"
"136-033","1","","Dholavira","TAG","4301.1"
"137-002","1","820","Harappa","TAB:B","1607.1"
"137-003","1","001","Mohenjo-daro","SEAL:R","2876.1"
"137-413","1","","Harappa","TAB:I","1018.2"
"138-001","1","595","Harappa","SEAL:S","1465.1"
"139-002","1","820","Harappa","TAB:B","1717.1"
"140-000","1","999","Harappa","POT:T:g","4096.1"
"140-001","1","000","Mohenjo-daro","SEAL:C","2419.2"
"140-015","1","001","Lothal","TAG:P","2084.1"
"140-032","1","","Lothal","SEAL:R","2066.1"
"140-165","1","740","Mohenjo-daro","SEAL:S","2772.1"
"140-220","1","530","Harappa","SEAL:S","1548.1"
"140-388","1","","Mohenjo-daro","SEAL:S","3344.1"
"140-706","1","","Mohenjo-daro","BNGL","591.1"
"140-820","1","","Harappa","SEAL","1594.2"
"143-096","1","","Mohenjo-daro","SEAL:S","3544.1"
"145-139","1","000","Unknown","SEAL:CY","5557.1"
"146-000","1","","Mohenjo-daro","POT:T:s","3904.1"
"148-632","1","031","Dholavira","SEAL:S","4176.1"
"148-794","1","220","Dholavira","TAG","4291.1"
"150-000","1","","Mohenjo-daro","SEAL:S","3466.1"
"151-017","1","003","Kalibangan","SEAL:S","1912.1"
"151-032","1","388","Dholavira","SEAL:S","4237.1"
"151-062","1","820","Mohenjo-daro","SEAL:S","3103.1"
"151-100","1","220","Lothal","SEAL:S","2011.1"
"151-142","1","","Dholavira","SEAL:S","4240.1"
"151-216","1","","Kalibangan","SEAL:S","1895.1"
"151-219","1","","Mohenjo-daro","SEAL:S","2391.1"
"151-231","1","","Harappa","SEAL:S","240.1"
"151-233","1","803","Chanhu-daro","SEAL:S","97.1"
"151-240","1","235","Mohenjo-daro","SEAL:S","2254.1"
"151-279","1","142","Mohenjo-daro","SEAL:S","2599.1"
"151-337","1","484","Mohenjo-daro","SEAL:S","2646.1"
"151-350","1","002","Mohenjo-daro","SEAL:S","3261.1"
"151-382","1","031","Dholavira","SEAL:S","145.1"
"151-400","1","142","Unknown","SEAL:S","5428.1"
"151-504","1","000","Harappa","SEAL:S","245.1"
"151-590","1","390","Lothal","SEAL:S","2015.1"
"151-690","1","032","Chanhu-daro","SEAL:S","88.1"
"151-760","1","220","Harappa","SEAL:S","303.1"
"151-790","1","031","Chanhu-daro","SEAL:S","107.1"
"151-840","1","416","Harappa","TAB:B","1662.1"
"151-892","1","032","Dholavira","SEAL:S","127.1"
"153-031","1","700","Harappa","SEAL:S","3921.1"
"153-220","1","032","Dholavira","TAB:I","4286.1"
"153-790","1","","Mohenjo-daro","POT:T:s","5519.1"
"153-803","1","595","Mohenjo-daro","SEAL:S","2206.1"
"154-004","1","","Lothal","SEAL:S","1994.1"
"154-005","1","","Lothal","SEAL:R","2054.1"
"154-031","1","001","Mohenjo-daro","SEAL:S","3109.1"
"154-032","1","000","Harappa","POT:T:g","482.1"
"154-070","1","","Mohenjo-daro","SEAL:R","3622.1"
"154-101","1","","Mohenjo-daro","POT:T:s","3671.1"
"154-118","1","","Lothal","POT:T:g","2137.1"
"154-160","1","363","Mohenjo-daro","SEAL:S","3304.1"
"154-435","1","255","Harappa","TAB:I","274.1"
"154-615","1","503","Harappa","SEAL:R","1198.1"
"154-798","1","463","Mohenjo-daro","SEAL:R","2875.1"
"154-900","1","004","Mohenjo-daro","SEAL:S","3993.1"
"155-005","1","","Gola Dhoro (Bagasra)","SEAL:S","5215.1"
"155-033","1","","Harappa","POT:T:g","329.1"
"156-004","1","","Mohenjo-daro","SEAL:S","2623.1"
"156-140","1","","Harappa","SEAL:S","530.1"
"156-230","1","","Chanhu-daro","SEAL:S","108.1"
"156-260","1","002","Mohenjo-daro","SEAL:S","3209.1"
"156-384","1","031","Harappa","MISC","244.1"
"156-388","1","","Harappa","TAB:B","1617.2"
"156-389","1","","Mohenjo-daro","SEAL:S","3494.1"
"156-460","1","510","Allahdino","SEAL:S","10.1"
"156-803","1","","Harappa","SEAL:S","1097.1"
"156-843","1","","Mohenjo-daro","SEAL:S","2715.1"
"157-031","1","002","Mohenjo-daro","SEAL:S","3992.1"
"157-142","1","","Mohenjo-daro","SEAL:S","2846.1"
"158-000","1","470","Harappa","SEAL:R","588.1"
"158-032","1","","Mohenjo-daro","POT:T:g","2209.1"
"158-221","1","","Harappa","TAB:B","901.2"
"158-805","1","480","Harappa","POT:T:s","603.1"
"158-838","1","470","Harappa","SEAL:R","622.1"
"158-900","1","415","Mohenjo-daro","POT:T:g","2203.1"
"158-999","1","792","Harappa","TAB:B","1689.1"
"159-057","1","","Harappa","SEAL:S","1116.1"
"159-097","1","520","Harappa","SEAL:S","1169.1"
"159-243","1","001","Mohenjo-daro","SEAL:R","3583.1"
"160-090","1","055","Qala'at al-Bahrain","SEAL:C","3863.1"
"161-233","1","220","Harappa","SEAL:S","1416.1"
"161-740","1","384","Mohenjo-daro","SEAL:S","3382.1"
"161-803","1","","Mohenjo-daro","SEAL:S","2264.1"
"161-924","1","146","Mohenjo-daro","SEAL:S","2199.1"
"165-000","1","","Harappa","SEAL:S","1477.1"
"165-012","1","","Mohenjo-daro","POT:T:g","2156.1"
"165-741","1","031","Mohenjo-daro","SEAL:S","2455.1"
"165-745","1","","Mohenjo-daro","SEAL:S","3423.1"
"171-000","1","","Harappa","TAB:I","4055.2"
"173-520","1","235","Mohenjo-daro","SEAL:S","3191.1"
"176-103","1","","Mohenjo-daro","TAB:B","3705.1"
"176-220","1","415","Chanhu-daro","SEAL:S","83.1"
"176-519","1","","Harappa","TAB:B","3974.1"
"176-741","1","347","Harappa","TAB:B","678.1"
"190-125","1","575","Mohenjo-daro","SEAL:S","3075.1"
"203-892","1","193","Harappa","SEAL:R","1185.1"
"204-630","1","233","Mohenjo-daro","SEAL:R","2892.1"
"215-031","1","480","Mohenjo-daro","SEAL:S","2255.1"
"215-175","1","480","Mohenjo-daro","POT:T:g","5523.1"
"220-002","1","368","Lothal","TAG","2131.1"
"220-014","1","","Banawali","SEAL:S","28.1"
"220-017","1","","Harappa","SEAL:S","1070.1"
"220-150","1","000","Kalibangan","POT:T:g","5313.1"
"220-233","1","","Harappa","TAB:I","416.1"
"220-416","1","220","Pabumath","SEAL:S","3861.1"
"220-500","1","520","Harappa","SEAL:S","293.1"
"220-760","1","","Harappa","TAB:I","795.2"
"220-786","1","255","Mohenjo-daro","SEAL:R","2910.1"
"223-066","1","000","Mohenjo-daro","SEAL:S","3285.1"
"224-740","1","061","Mohenjo-daro","SEAL:S","2828.1"
"226-000","1","","Lothal","TAG","2075.1"
"226-014","1","817","Chanhu-daro","SEAL:S","75.1"
"226-140","1","002","Mohenjo-daro","SEAL:S","3185.1"
"226-491","1","742","Mohenjo-daro","SEAL:S","3164.1"
"226-575","1","920","Mohenjo-daro","SEAL:S","3401.1"
"231-002","1","861","Mohenjo-daro","SEAL:S","2274.1"
"231-226","1","002","Dholavira","SEAL:R","5579.1"
"231-850","1","","Dholavira","SEAL:S","4187.1"
"232-220","1","032","Mohenjo-daro","SEAL:S","3519.1"
"232-240","1","741","Harappa","SEAL:S","1145.1"
"232-740","1","176","Harappa","SEAL:S","1063.1"
"233-000","1","000","Mohenjo-daro","SEAL:S","3256.1"
"233-002","1","817","Harappa","SEAL:S","1472.1"
"233-226","1","032","Lothal","TAG","2135.1"
"233-554","1","435","Harappa","POT:T:g","523.1"
"233-630","1","","Dholavira","TAB:I","4283.1"
"233-645","1","","Harappa","SEAL:S","1553.1"
"233-776","1","","Dholavira","MISC","4244.2"
"233-798","1","806","Harappa","SEAL:R","1186.1"
"234-220","1","002","Lothal","TAG","2127.2"
"234-415","1","","Mohenjo-daro","SEAL:S","3153.1"
"234-803","1","741","Mohenjo-daro","SEAL:S","3214.1"
"235-002","1","861","Lothal","TAG","2113.2"
"235-033","1","","Harappa","POT:T:s","176.1"
"235-068","1","550","Kalibangan","POT:T:g","1947.1"
"235-220","1","","Harappa","TAB:B","1019.2"
"235-803","1","002","Harappa","SEAL:S","1435.1"
"235-840","1","","Harappa","TAB:B","791.2"
"236-140","1","893","Gola Dhoro (Bagasra)","SEAL:S","158.1"
"236-231","1","000","Dholavira","TAB:I","4256.1"
"236-240","1","033","Mohenjo-daro","SEAL:S","2582.1"
"236-806","1","002","Harappa","SEAL:S","1410.1"
"240-000","1","","Harappa","TAB:B","1617.1"
"240-060","1","692","Harappa","TAB:B","1714.1"
"240-220","1","","Farmana","SEAL:S","149.1"
"240-370","1","861","Harappa","TAG:L","941.1"
"240-550","1","","Harappa","TAB:B","3962.1"
"240-590","1","","Harappa","TAB:I","799.2"
"240-740","1","017","Harappa","SEAL:S","1443.1"
"240-741","1","390","Mohenjo-daro","SEAL:S","2286.1"
"240-803","1","002","Rakhigarhi","SEAL:S","4154.1"
"241-002","1","880","Mohenjo-daro","SEAL:S","2749.1"
"241-156","1","590","Mohenjo-daro","SEAL:S","3465.1"
"241-235","1","","Mohenjo-daro","SEAL:S","3460.1"
"241-742","1","041","Mohenjo-daro","SEAL:S","3512.1"
"241-832","1","740","Mohenjo-daro","SEAL:S","2423.1"
"242-636","1","","Harappa","TAB:I","546.2"
"243-705","1","031","Mohenjo-daro","SEAL:S","3324.1"
"244-165","1","740","Dholavira","SEAL:S","130.1"
"244-277","1","255","Mohenjo-daro","SEAL:S","2746.1"
"250-255","1","","Kalibangan","SEAL:S","1914.1"
"250-605","1","626","Mohenjo-daro","SEAL:R","2886.1"
"250-892","1","","Mohenjo-daro","BNGL","3831.1"
"255-000","1","","Mohenjo-daro","TAB:B","2969.2"
"255-014","1","000","Dholavira","SEAL:S","4251.1"
"255-060","1","692","Mohenjo-daro","SEAL:S","2835.1"
"255-231","1","","Mohenjo-daro","TAB:C","3789.1"
"255-240","1","235","Mohenjo-daro","SEAL:S","3435.1"
"255-330","1","","Kalibangan","POT:T:g","5348.1"
"255-346","1","510","Lothal","POT:T:g","2139.1"
"256-832","1","","Mohenjo-daro","SEAL:C","2911.1"
"257-360","1","","Harappa","TAB:I","679.3"
"266-628","1","817","Kalibangan","IMPL","1966.1"
"267-125","1","000","Dholavira","SEAL:S","4215.1"
"267-413","1","575","Mohenjo-daro","SEAL:S","3317.1"
"269-031","1","000","Lothal","TAG","2089.1"
"269-130","1","190","Mohenjo-daro","SEAL:S","2680.1"
"269-315","1","255","Mohenjo-daro","SEAL:S","3554.1"
"285-705","1","","Lothal","SEAL:R","2039.1"
"286-645","1","001","Mohenjo-daro","SEAL:S","3369.1"
"292-352","1","125","Gola Dhoro (Bagasra)","SEAL:S","5219.1"
