"id","cisi","type","site","side_index","sides","direction","token_count","text","token_string","orientation_class","companion","order","unordered_pair","interpretation_status"
"257.2","H-1309","TAB:I","Harappa","2","2","L/R","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"229.2","H-1312","TAB:I","Harappa","2","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"4081.2","H-1313","TAB:I","Harappa","2","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"255.1","H-1319","TAB:I","Harappa","1","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"255.2","H-1319","TAB:I","Harappa","2","2","R/L","2","+400-678+","400;678","non_700_short_mark","","","400-678","orientation_audit_only_no_reading"
"4072.1","H-1320","TAB:I","Harappa","1","2","R/L","2","+400-678+","400;678","non_700_short_mark","","","400-678","orientation_audit_only_no_reading"
"4072.2","H-1320","TAB:I","Harappa","2","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"317.2","H-1321","TAB:B","Harappa","2","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"282.1","H-1330","TAB:I","Harappa","1","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"282.2","H-1330","TAB:I","Harappa","2","2","R/L","2","+520-220+","520;220","non_700_short_mark","","","220-520","orientation_audit_only_no_reading"
"4085.2","H-1344","TAB:I","Harappa","2","2","R/L","2","+700-033+","700;033","two_token_700_companion","033","700_first","033-700","orientation_audit_only_no_reading"
"4086.2","H-1345","TAB:I","Harappa","2","2","R/L","2","+700-033+","700;033","two_token_700_companion","033","700_first","033-700","orientation_audit_only_no_reading"
"4087.2","H-1346","TAB:I","Harappa","2","2","R/L","2","+700-033+","700;033","two_token_700_companion","033","700_first","033-700","orientation_audit_only_no_reading"
"4088.2","H-1347","TAB:I","Harappa","2","2","R/L","2","+700-033+","700;033","two_token_700_companion","033","700_first","033-700","orientation_audit_only_no_reading"
"4089.2","H-1348","TAB:I","Harappa","2","2","R/L","2","+700-033+","700;033","two_token_700_companion","033","700_first","033-700","orientation_audit_only_no_reading"
"222.3","H-1354","TAB:I","Harappa","3","3","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"758.2","H-1768","TAB:B","Harappa","2","2","R/L","2","+700-033+","700;033","two_token_700_companion","033","700_first","033-700","orientation_audit_only_no_reading"
"371.1","H-1771","TAB:B","Harappa","1","2","L/R","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"400.1","H-1772","TAB:B","Harappa","1","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"383.1","H-1773","TAB:B","Harappa","1","2","L/R","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"1021.2","H-1774","TAB:B","Harappa","2","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"1023.2","H-1793","TAB:B","Harappa","2","2","R/L","2","+700-745+","700;745","two_token_700_companion","745","700_first","700-745","orientation_audit_only_no_reading"
"570.1","H-1797","TAB:B","Harappa","1","2","L/R","2","+032-700+","032;700","two_token_700_companion","032","700_last","032-700","orientation_audit_only_no_reading"
"477.1","H-1804","TAB:B","Harappa","1","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"624.1","H-1817","TAB:B","Harappa","1","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"550.1","H-1822","TAB:B","Harappa","1","2","R/L","2","+700-033+","700;033","two_token_700_companion","033","700_first","033-700","orientation_audit_only_no_reading"
"649.1","H-1823","TAB:B","Harappa","1","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"646.1","H-1824","TAB:B","Harappa","1","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"467.1","H-1825","TAB:B","Harappa","1","2","L/R","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"895.1","H-1828","TAB:B","Harappa","1","2","R/L","2","+156-176+","156;176","non_700_short_mark","","","156-176","orientation_audit_only_no_reading"
"895.2","H-1828","TAB:B","Harappa","2","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"890.1","H-1829","TAB:B","Harappa","1","2","R/L","2","+156-176+","156;176","non_700_short_mark","","","156-176","orientation_audit_only_no_reading"
"890.2","H-1829","TAB:B","Harappa","2","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"773.1","H-1830","TAB:B","Harappa","1","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"773.2","H-1830","TAB:B","Harappa","2","2","R/L","2","+156-176+","156;176","non_700_short_mark","","","156-176","orientation_audit_only_no_reading"
"772.1","H-1831","TAB:B","Harappa","1","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"772.2","H-1831","TAB:B","Harappa","2","2","R/L","2","+156-176+","156;176","non_700_short_mark","","","156-176","orientation_audit_only_no_reading"
"415.1","H-1832","TAB:B","Harappa","1","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"497.1","H-1836","TAB:B","Harappa","1","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"593.1","H-1839","TAB:B","Harappa","1","2","R/L","2","+700-033+","700;033","two_token_700_companion","033","700_first","033-700","orientation_audit_only_no_reading"
"652.1","H-1841","TAB:B","Harappa","1","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"631.1","H-1842","TAB:B","Harappa","1","2","R/L","2","+033-700+","033;700","two_token_700_companion","033","700_last","033-700","orientation_audit_only_no_reading"
"780.1","H-1844","TAB:B","Harappa","1","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"424.1","H-1845","TAB:B","Harappa","1","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"686.1","H-1846","TAB:B","Harappa","1","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"480.1","H-1850","TAB:B","Harappa","1","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
