run_id,arm,corpus,model,seed,initialization,parameter_count,optimizer_steps,masked_positions_seen,total_records,train_records,train_tokens,null_attrition_fraction,test_records,test_positions,masked_nll,masked_perplexity,masked_top1,masked_top5,multiclass_brier,stored_order_win_share,authentic_corruption_win_share,elapsed_seconds
ivc_transfer_nonwriting__micro__seed20260716,ivc_transfer_nonwriting,ivc,micro,20260716,shared_transformer_body_only_fresh_token_embeddings_and_task_heads,886850,900,361846,1796,663,3646,0.0,994,775,4.350185704385081,77.49285235162382,0.23741935483870968,0.4425806451612903,0.8983761559763263,0.8705035971223022,0.8633093525179856,114.84157018899987
pretrain_ivc_position_slot_shuffle__micro__seed20260716,pretrain_ivc_position_slot_shuffle,ivc_position_slot_shuffle,micro,20260716,random_initialization,867242,1000,423409,663,469,2555,0.0,96,526,4.7185973105775085,112.01102574230454,0.13688212927756654,0.2718631178707224,0.9521071702355215,0.9166666666666666,0.875,128.88820075800004
ivc_transfer_ivc_position_slot_shuffle__micro__seed20260716,ivc_transfer_ivc_position_slot_shuffle,ivc,micro,20260716,shared_transformer_body_only_fresh_token_embeddings_and_task_heads,886850,900,361846,1796,663,3646,0.0,994,775,4.397902209374212,81.28018089242092,0.2296774193548387,0.4,0.9008013639142436,0.841726618705036,0.8561151079136691,114.26187403499944
ivc__small__seed20260712,ivc,ivc,small,20260712,random_initialization,6537794,780,310509,1796,663,3611,0.0,994,739,4.256163477091086,70.53883978759694,0.22868741542625168,0.41542625169147496,0.8928578419356288,0.8840579710144928,0.8695652173913043,130.00548688100025
ivc__medium__seed20260712,ivc,ivc,medium,20260712,random_initialization,18123074,765,304540,1796,663,3611,0.0,994,739,4.539711834774611,93.66380557857143,0.2259810554803789,0.39242219215155616,0.9136174141312162,0.8913043478260869,0.9057971014492754,157.37517855900023
linear_b__small__seed20260712,linear_b,linear_b,small,20260712,random_initialization,6414434,300,116399,278,194,1210,0.0,42,267,2.8827105032817255,17.862624323892422,0.4044943820224719,0.6179775280898876,0.774760974926895,1.0,0.9047619047619048,50.39586655800031
sumtablets__small__seed20260712,sumtablets,sumtablets,small,20260712,random_initialization,6483053,1530,562386,1798,1347,6364,0.0,223,1165,4.589759924892704,98.47078693924527,0.15622317596566523,0.3098712446351931,0.9512467805919729,0.8251121076233184,0.8385650224215246,233.87261410500014
ivc_row_internal_shuffle__small__seed20260712,ivc_row_internal_shuffle,ivc_row_internal_shuffle,small,20260712,random_initialization,6537794,705,279021,1789,656,3594,0.008728179551122194,994,739,4.690328595441475,108.88895434344357,0.16779431664411368,0.33964817320703655,0.9433039560692236,0.5434782608695652,0.4420289855072464,117.08539100899998
ivc_position_slot_shuffle__small__seed20260712,ivc_position_slot_shuffle,ivc_position_slot_shuffle,small,20260712,random_initialization,6537794,630,247990,1781,651,3572,0.018703241895261846,994,739,4.904613200640646,134.91071653453494,0.11096075778078485,0.2679296346414073,0.9663446243141598,0.8695652173913043,0.8405797101449275,104.79328052900019
ivc__small__seed20260713,ivc,ivc,small,20260713,random_initialization,6537794,900,361345,1796,661,3657,0.0,999,751,4.049386868940371,57.36227566828761,0.26764314247669774,0.4833555259653795,0.8707594992158892,0.9166666666666666,0.9166666666666666,151.37895367300007
